variable,group,value
CensusTract6713,min15,13.86593316
CensusTract6715,min15,5.158996629
CensusTract6716,min15,9.737700069
CensusTract6718,min15,12.97952267
CensusTract6719,min15,13.77018215
CensusTract7101,min15,13.54653503
CensusTract7102,min15,14.6463975
CensusTract7104,min15,13.5370449
CensusTract4303,min15,15.50978048
CensusTract7106,min15,15.36893864
CensusTract7108,min15,14.5657742
CensusTract3403,min15,13.78882797
CensusTract3405,min15,13.94054207
CensusTract3406,min15,13.54404784
CensusTract4302,min15,12.57743868
CensusTract5103,min15,12.39009427
CensusTract5201,min15,13.7423662
CensusTract5907,min15,13.57909385
CensusTract6004,min15,13.08018008
CensusTract8241.15,min15,12.70173345
CensusTract8253.03,min15,8.373996043
CensusTract8300.07,min15,7.489962492
CensusTract8138.01,min15,13.11255994
CensusTract8306,min15,13.05336176
CensusTract8308,min15,13.48608937
CensusTract8307,min15,8.420255818
CensusTract8309,min15,8.727054383
CensusTract8352,min15,11.80844724
CensusTract8399,min15,14.70134001
CensusTract8397,min15,14.53160479
CensusTract8398,min15,14.20747387
CensusTract8348,min15,14.40889802
CensusTract8347,min15,14.12360294
CensusTract8320,min15,14.36938787
CensusTract8325,min15,12.53416876
CensusTract8323,min15,14.31263052
CensusTract8383,min15,14.25567632
CensusTract8318,min15,14.50889165
CensusTract8317,min15,13.78752744
CensusTract8351,min15,13.57598094
CensusTract8350,min15,14.67443601
CensusTract8437,min15,14.75836593
CensusTract2207.02,min15,14.47940483
CensusTract8421,min15,13.74360647
CensusTract8433,min15,13.2054798
CensusTract8241.23,min15,13.06028439
CensusTract8044.05,min15,13.70689852
CensusTract8311,min15,14.17821817
CensusTract8315,min15,12.74060813
CensusTract8316,min15,12.85603728
CensusTract8312,min15,13.91573127
CensusTract8310,min15,14.02874415
CensusTract8430,min15,13.53229652
CensusTract8431,min15,13.579089
CensusTract8429,min15,13.77717017
CensusTract8435,min15,14.11709977
CensusTract8420,min15,14.81380027
CensusTract8080.02,min15,13.60133201
CensusTract301.01,min15,7.534747173
CensusTract307.01,min15,3.649728456
CensusTract701.03,min15,4.010629618
CensusTract8071,min15,3.441648387
CensusTract8072,min15,4.714649172
CensusTract8073,min15,4.51440315
CensusTract8074,min15,7.634562773
CensusTract8075,min15,12.11202927
CensusTract8077,min15,7.784100633
CensusTract8079,min15,8.225799194
CensusTract8080.01,min15,11.13866963
CensusTract8043.11,min15,11.32750022
CensusTract8083.01,min15,10.97787237
CensusTract8083.02,min15,11.44172242
CensusTract8086,min15,12.38250477
CensusTract8087.02,min15,15.91169165
CensusTract7702.02,min15,12.01300695
CensusTract7706.02,min15,12.75387553
CensusTract8061.04,min15,12.87634861
CensusTract8025.06,min15,16.96451331
CensusTract8025.05,min15,16.72503029
CensusTract8024.04,min15,17.74078467
CensusTract8030.17,min15,15.98536882
CensusTract8047.14,min15,11.67779806
CensusTract8043.10,min15,15.59210305
CensusTract8044.03,min15,15.6507069
CensusTract8206.06,min15,17.62487512
CensusTract8044.06,min15,16.59459609
CensusTract8047.16,min15,16.47412981
CensusTract8062.01,min15,16.62461184
CensusTract8206.04,min15,16.40612733
CensusTract8241.16,min15,17.45731674
CensusTract8240.05,min15,17.62597181
CensusTract8241.14,min15,16.68471785
CensusTract8238.06,min15,16.72140707
CensusTract8240.03,min15,16.38586544
CensusTract8241.22,min15,16.7324013
CensusTract8241.17,min15,16.54235551
CensusTract8319,min15,18.71458981
CensusTract8045.06,min15,14.36256225
CensusTract8241.19,min15,17.83280797
CensusTract8241.20,min15,13.58416708
CensusTract8395,min15,18.63262859
CensusTract8326,min15,12.96349775
CensusTract8369,min15,17.28324454
CensusTract8412,min15,13.85026056
CensusTract8419,min15,13.22021264
CensusTract8358,min15,12.28174404
CensusTract8388,min15,16.77869945
CensusTract8423,min15,12.04150565
CensusTract8155,min15,11.45225296
CensusTract8432,min15,12.43689211
CensusTract8434,min15,8.789391549
CensusTract8426,min15,8.759835892
CensusTract8032,min15,8.678284603
CensusTract8033,min15,8.474295529
CensusTract8089,min15,8.161657809
CensusTract8090,min15,7.725043914
CensusTract3018.03,min15,7.414556969
CensusTract8091,min15,7.327794407
CensusTract8092,min15,11.36228537
CensusTract8093,min15,7.308615118
CensusTract2210,min15,7.473360405
CensusTract2211,min15,7.320688728
CensusTract2428,min15,8.083222305
CensusTract2429,min15,8.562390413
CensusTract2430,min15,7.855051695
CensusTract2431,min15,18.80127093
CensusTract2432,min15,16.8551744
CensusTract2433,min15,16.27162387
CensusTract2434,min15,15.57274359
CensusTract714,min15,15.12543561
CensusTract1104,min15,11.77387579
CensusTract1506,min15,11.81205744
CensusTract1507,min15,11.35303072
CensusTract1508,min15,12.71786031
CensusTract1511,min15,14.7274385
CensusTract1512,min15,17.80548673
CensusTract2415,min15,16.89156419
CensusTract2411,min15,16.20825116
CensusTract2416,min15,15.99143889
CensusTract2413,min15,17.41475737
CensusTract2414,min15,16.11636034
CensusTract2435,min15,16.04403757
CensusTract2502,min15,14.69311369
CensusTract2503,min15,14.728615
CensusTract2504,min15,13.60702963
CensusTract2505,min15,14.4426524
CensusTract715,min15,15.73914979
CensusTract718,min15,16.5389346
CensusTract801,min15,13.53187166
CensusTract803,min15,13.93248492
CensusTract804,min15,14.07111871
CensusTract1601,min15,15.74786318
CensusTract1602,min15,15.53716303
CensusTract1603,min15,14.64567732
CensusTract1604,min15,15.38086706
CensusTract1607,min15,15.38086706
CensusTract2213,min15,14.74958611
CensusTract2215,min15,9.994889246
CensusTract2214,min15,13.46736153
CensusTract2506,min15,13.37776162
CensusTract2507,min15,13.34763288
CensusTract2508,min15,9.758954011
CensusTract2510,min15,13.31819874
CensusTract2511,min15,10.54538945
CensusTract514,min15,10.73159509
CensusTract601,min15,15.41044047
CensusTract603,min15,10.84431935
CensusTract608,min15,14.84400462
CensusTract1608,min15,10.98481789
CensusTract1609,min15,10.27989859
CensusTract1610,min15,5.927611042
CensusTract1611,min15,5.521646171
CensusTract1612,min15,5.873670859
CensusTract1613,min15,5.884025327
CensusTract1701,min15,6.344593621
CensusTract2216,min15,10.31325671
CensusTract2421,min15,10.21990353
CensusTract2420,min15,6.37257428
CensusTract2512,min15,5.902370534
CensusTract2513,min15,5.915622893
CensusTract513,min15,5.955936871
CensusTract6007,min15,5.995358789
CensusTract6009,min15,6.121109254
CensusTract8212,min15,6.211450237
CensusTract6720,min15,7.527960973
CensusTract7109,min15,6.199978556
CensusTract7110,min15,6.058256444
CensusTract7111,min15,7.712898785
CensusTract7112,min15,5.835734197
CensusTract7115,min15,5.743296766
CensusTract7113,min15,5.802254015
CensusTract7114,min15,5.814940349
CensusTract2705,min15,6.222468842
CensusTract2712,min15,5.816390446
CensusTract2713,min15,5.763538747
CensusTract2714,min15,5.729544618
CensusTract3501,min15,5.506853336
CensusTract3504,min15,5.649518276
CensusTract3510,min15,5.616663371
CensusTract3514,min15,5.351706696
CensusTract3602,min15,5.50353195
CensusTract8139,min15,5.39997898
CensusTract8226.01,min15,6.446235369
CensusTract8227.01,min15,5.747562359
CensusTract8227.02,min15,6.630376354
CensusTract8228.01,min15,6.482844794
CensusTract8230.02,min15,7.949473285
CensusTract8140,min15,7.549369491
CensusTract8141,min15,7.372172098
CensusTract8142,min15,6.391314473
CensusTract8143,min15,6.98088789
CensusTract8144,min15,5.931414388
CensusTract8231.01,min15,5.260142995
CensusTract8233.02,min15,1.625648843
CensusTract8233.03,min15,5.501703674
CensusTract8235,min15,5.221220747
CensusTract8145,min15,5.658924402
CensusTract8146,min15,5.812666301
CensusTract8148,min15,5.70650678
CensusTract8149,min15,5.629226487
CensusTract8150,min15,5.709921235
CensusTract8151,min15,1.981322272
CensusTract8236.02,min15,5.937449196
CensusTract8236.04,min15,5.614059172
CensusTract8236.05,min15,5.7517719
CensusTract8237.02,min15,5.75209119
CensusTract1605.01,min15,5.863264671
CensusTract8152,min15,7.361196665
CensusTract8153,min15,7.137036584
CensusTract8154,min15,7.020167942
CensusTract8237.04,min15,10.05500737
CensusTract8237.05,min15,7.099882401
CensusTract8241.08,min15,6.784605675
CensusTract8158,min15,2.374447435
CensusTract8159,min15,2.967072956
CensusTract8160,min15,2.827903672
CensusTract8162,min15,2.97947652
CensusTract8245.07,min15,2.816847608
CensusTract8246.02,min15,2.286345215
CensusTract8247.01,min15,2.208389501
CensusTract8247.02,min15,1.853819623
CensusTract8252,min15,1.710018385
CensusTract401,min15,2.200320026
CensusTract403,min15,5.412808294
CensusTract8163,min15,5.506038354
CensusTract8164.01,min15,1.762296736
CensusTract8164.02,min15,1.544221042
CensusTract8166,min15,1.541730616
CensusTract8167,min15,1.644721857
CensusTract8255.03,min15,1.624140944
CensusTract8255.04,min15,1.291206079
CensusTract8255.05,min15,1.28818199
CensusTract8257,min15,2.11074567
CensusTract6603.01,min15,2.078347667
CensusTract2207.01,min15,2.95982072
CensusTract633.02,min15,2.154737083
CensusTract2522.01,min15,0.923296226
CensusTract6603.02,min15,1.567341363
CensusTract7302.02,min15,2.445709842
CensusTract8133.02,min15,1.617052078
CensusTract8137.02,min15,1.598893779
CensusTract8133.01,min15,1.860012806
CensusTract8024.03,min15,0.385462441
CensusTract8030.16,min15,1.022652411
CensusTract8037.01,min15,4.829275805
CensusTract8041.08,min15,4.068971391
CensusTract8047.15,min15,3.867900971
CensusTract8356,min15,3.98451707
CensusTract8400,min15,3.283933043
CensusTract8364,min15,2.853199309
CensusTract8361,min15,2.945871656
CensusTract8346,min15,2.891858463
CensusTract8436,min15,2.691720282
CensusTract619.02,min15,3.961278598
CensusTract301.02,min15,4.059242436
CensusTract301.03,min15,3.100383984
CensusTract307.06,min15,3.234690033
CensusTract306.01,min15,2.548512497
CensusTract812.02,min15,7.287927485
CensusTract633.03,min15,7.451838125
CensusTract2209.01,min15,7.259328524
CensusTract2106.02,min15,6.901595873
CensusTract2206.02,min15,6.919575602
CensusTract2206.01,min15,6.702547413
CensusTract404.01,min15,7.050558235
CensusTract2522.02,min15,7.284723987
CensusTract2521.02,min15,6.684592655
CensusTract7706.01,min15,11.6537829
CensusTract8061.03,min15,11.4480341
CensusTract8026.10,min15,14.22549536
CensusTract8026.09,min15,14.68686995
CensusTract8046.10,min15,14.69370511
CensusTract7702.01,min15,11.33804314
CensusTract8043.08,min15,14.45996069
CensusTract8206.05,min15,10.13642087
CensusTract8363,min15,10.79705577
CensusTract8345,min15,15.43020178
CensusTract8359,min15,10.24645443
CensusTract8360,min15,10.393851
CensusTract8362,min15,10.73034545
CensusTract8344,min15,10.72414553
CensusTract8343,min15,10.05134616
CensusTract701.01,min15,10.02967652
CensusTract1105.01,min15,5.8874022
CensusTract301.04,min15,6.031835092
CensusTract814.01,min15,9.92952982
CensusTract4301.02,min15,9.834612577
CensusTract7709.02,min15,10.88063151
CensusTract8241.21,min15,10.85431525
CensusTract4301.01,min15,2.263104198
CensusTract8041.09,min15,1.963763002
CensusTract8045.07,min15,1.92013121
CensusTract8046.11,min15,1.913682889
CensusTract8240.04,min15,10.16695947
CensusTract8240.06,min15,6.363205649
CensusTract2521.01,min15,2.086001494
CensusTract105.01,min15,2.065653254
CensusTract207.01,min15,5.976636556
CensusTract102.01,min15,1.675373031
CensusTract7608.01,min15,1.858069267
CensusTract8390,min15,4.740670396
CensusTract4402.01,min15,2.180312855
CensusTract5401.01,min15,2.252131494
CensusTract8020.04,min15,2.597375954
CensusTract8020.03,min15,1.576076959
CensusTract8030.13,min15,4.481966614
CensusTract8026.08,min15,4.938863144
CensusTract8030.15,min15,1.996727443
CensusTract8030.14,min15,4.099579588
CensusTract8340,min15,4.182066063
CensusTract8339,min15,4.148499913
CensusTract8192,min15,5.133648957
CensusTract8156,min15,3.840061367
CensusTract8180,min15,2.473285726
CensusTract8120,min15,1.696382946
CensusTract8294.02,min15,1.713084528
CensusTract8113.02,min15,4.652735869
CensusTract8028.02,min15,2.404241077
CensusTract8198.01,min15,2.707442532
CensusTract8198.02,min15,2.438728318
CensusTract8199,min15,4.66575578
CensusTract8200,min15,4.830967284
CensusTract8274,min15,5.323875713
CensusTract8276,min15,7.574045842
CensusTract2827,min15,7.126593998
CensusTract2828,min15,6.280643701
CensusTract4003,min15,6.028802414
CensusTract4005,min15,5.684306726
CensusTract4008,min15,5.819162877
CensusTract4101,min15,5.866188398
CensusTract4105,min15,6.221401475
CensusTract4106,min15,6.643396827
CensusTract4601,min15,6.764493003
CensusTract8051.05,min15,6.415834935
CensusTract8277,min15,6.02374162
CensusTract8278.02,min15,5.958899108
CensusTract8278.04,min15,6.386441452
CensusTract4503,min15,6.58417388
CensusTract4602,min15,6.480824781
CensusTract8051.06,min15,6.509766648
CensusTract8051.07,min15,2.608372828
CensusTract8051.08,min15,10.82802056
CensusTract6404,min15,6.750291657
CensusTract6405,min15,10.97693246
CensusTract6406,min15,6.733993427
CensusTract6407,min15,7.494348104
CensusTract6408,min15,7.85309057
CensusTract6501,min15,6.739243484
CensusTract6502,min15,6.814138608
CensusTract2804,min15,11.19729222
CensusTract8114.01,min15,11.18802611
CensusTract8113.01,min15,10.87732855
CensusTract7506,min15,7.916693137
CensusTract8126,min15,8.984370301
CensusTract8030.08,min15,8.028827219
CensusTract8051.10,min15,7.952435978
CensusTract8051.11,min15,7.628380923
CensusTract8051.12,min15,6.655600363
CensusTract8052.01,min15,6.258648443
CensusTract8203,min15,5.46301474
CensusTract8204,min15,5.469697755
CensusTract8209.02,min15,5.723439537
CensusTract8210.01,min15,6.001211635
CensusTract8278.05,min15,5.330454862
CensusTract8280,min15,5.698844655
CensusTract8281,min15,5.367332305
CensusTract8282.02,min15,5.338574863
CensusTract2831,min15,7.561530116
CensusTract2838,min15,6.746195967
CensusTract4107,min15,9.00574348
CensusTract4108,min15,5.151326206
CensusTract8290,min15,5.316103458
CensusTract4109,min15,9.095215337
CensusTract4110,min15,8.87926798
CensusTract4111,min15,7.716730473
CensusTract4112,min15,7.923591054
CensusTract4606,min15,5.705656115
CensusTract4607,min15,5.124888848
CensusTract4604,min15,5.026290931
CensusTract4605,min15,4.981111322
CensusTract4610,min15,5.781778762
CensusTract8292,min15,9.634388771
CensusTract8293.01,min15,5.656965634
CensusTract8293.02,min15,6.225491143
CensusTract8294.01,min15,6.402468699
CensusTract8052.02,min15,5.658777301
CensusTract8053.01,min15,5.402713747
CensusTract8053.02,min15,5.499741675
CensusTract8054.01,min15,5.103692746
CensusTract7704,min15,5.643089466
CensusTract8001,min15,5.729148012
CensusTract8003,min15,5.331647354
CensusTract8129,min15,5.761219338
CensusTract8130,min15,5.844682885
CensusTract8131,min15,9.460064014
CensusTract8005,min15,5.805498597
CensusTract8211.01,min15,5.142148426
CensusTract8211.02,min15,5.314550017
CensusTract8213,min15,5.662516022
CensusTract8210.02,min15,5.517165032
CensusTract8284.01,min15,5.50582938
CensusTract8284.02,min15,2.850014495
CensusTract8285.04,min15,6.360412015
CensusTract4201,min15,5.230071108
CensusTract4202,min15,5.10375071
CensusTract4204,min15,5.943666247
CensusTract4207,min15,3.629574502
CensusTract8054.02,min15,7.63741753
CensusTract8055.01,min15,2.64362535
CensusTract8296,min15,6.988727975
CensusTract4208,min15,5.942155912
CensusTract4701,min15,8.336960185
CensusTract4801,min15,5.26756256
CensusTract4802,min15,8.920111586
CensusTract4803,min15,10.6255042
CensusTract4804,min15,6.92882237
CensusTract8055.02,min15,7.904059523
CensusTract8056,min15,9.898342227
CensusTract8300.01,min15,0.436200983
CensusTract8300.06,min15,3.012423374
CensusTract6504,min15,7.488064073
CensusTract6505,min15,4.874503847
CensusTract6604,min15,6.017591448
CensusTract8006,min15,13.18017632
CensusTract8010,min15,6.741527006
CensusTract8011,min15,10.31538849
CensusTract8012,min15,8.993952785
CensusTract8114.02,min15,9.28176886
CensusTract8134,min15,14.63714752
CensusTract8132,min15,15.96285721
CensusTract8214.01,min15,9.036044747
CensusTract8057.02,min15,9.117140463
CensusTract8058.02,min15,8.69819944
CensusTract8214.02,min15,8.494799504
CensusTract8216,min15,11.39488072
CensusTract8217,min15,11.35070921
CensusTract2909,min15,7.456428264
CensusTract2912,min15,12.91483948
CensusTract4212,min15,9.304727632
CensusTract8060.01,min15,12.0473818
CensusTract8060.03,min15,13.27652695
CensusTract8013,min15,13.12511548
CensusTract8014,min15,9.829187879
CensusTract8016.03,min15,9.892416497
CensusTract8017.01,min15,13.64731698
CensusTract8060.04,min15,13.88499201
CensusTract8063,min15,10.72132953
CensusTract8064,min15,12.51786318
CensusTract8065.01,min15,9.858566779
CensusTract2715,min15,10.81640414
CensusTract2922,min15,12.16180483
CensusTract2924,min15,14.26724702
CensusTract2925,min15,9.056920384
CensusTract8067,min15,5.166910678
CensusTract8068.01,min15,2.710396622
CensusTract8068.02,min15,2.03809043
CensusTract8069,min15,2.39825877
CensusTract8070,min15,4.108946087
CensusTract8019.01,min15,6.948583175
CensusTract8019.02,min15,6.155360132
CensusTract8021,min15,5.848888955
CensusTract8022,min15,7.525656019
CensusTract2718,min15,7.128246661
CensusTract2801,min15,7.613144923
CensusTract3012,min15,7.664248741
CensusTract3006,min15,5.795351805
CensusTract3007,min15,9.968518591
CensusTract3011,min15,7.561508657
CensusTract4805,min15,9.908949096
CensusTract4903,min15,8.132400743
CensusTract4905,min15,2.958237847
CensusTract8027.02,min15,2.706391766
CensusTract5202,min15,4.362226369
CensusTract5203,min15,3.015197468
CensusTract5204,min15,3.396535402
CensusTract5205,min15,3.029342726
CensusTract5206,min15,6.68697098
CensusTract6605,min15,4.281065581
CensusTract6606,min15,4.049785491
CensusTract6607,min15,4.246995036
CensusTract6608,min15,8.244988432
CensusTract6609,min15,8.472674578
CensusTract6610,min15,8.096679169
CensusTract8023,min15,7.037355449
CensusTract8024.02,min15,6.984919095
CensusTract8025.03,min15,2.40099486
CensusTract8025.04,min15,2.449728725
CensusTract2809,min15,3.58182333
CensusTract3016,min15,4.077302605
CensusTract4906,min15,4.330754194
CensusTract4907,min15,1.924036159
CensusTract4908,min15,1.971656649
CensusTract4910,min15,2.439436212
CensusTract4911,min15,3.302038582
CensusTract5302,min15,2.513736023
CensusTract5303,min15,3.28285222
CensusTract5304,min15,11.14063737
CensusTract5306,min15,6.197847729
CensusTract5601,min15,10.82204967
CensusTract6702,min15,10.47977979
CensusTract6703,min15,2.412213607
CensusTract6704,min15,1.738967358
CensusTract6611,min15,1.077668553
CensusTract6701,min15,10.59413848
CensusTract6706,min15,10.41793727
CensusTract6707,min15,10.76026389
CensusTract6708,min15,3.311734121
CensusTract6709,min15,3.128930937
CensusTract8027.01,min15,9.404728151
CensusTract2609,min15,1.557870181
CensusTract2610,min15,10.11244357
CensusTract2819,min15,1.534829136
CensusTract3102,min15,1.368063263
CensusTract3103,min15,3.406317984
CensusTract3104,min15,1.676408523
CensusTract3105,min15,1.927627544
CensusTract4912,min15,2.42502508
CensusTract4913,min15,2.314529368
CensusTract4914,min15,1.215443867
CensusTract5001,min15,1.080475066
CensusTract5002,min15,0.860180545
CensusTract5003,min15,1.759831625
CensusTract5602,min15,1.549521191
CensusTract5603,min15,1.578986265
CensusTract5607,min15,2.132284079
