variable,group,value
CensusTract6302,min15,7.402228987
CensusTract4304,min15,7.460937079
CensusTract4306,min15,7.489170462
CensusTract4308,min15,7.42562409
CensusTract4305,min15,8.422804351
CensusTract4309,min15,8.182722558
CensusTract6103,min15,8.427987383
CensusTract6810,min15,5.793424807
CensusTract6811,min15,8.237951531
CensusTract6805,min15,7.670835662
CensusTract8034,min15,7.795743341
CensusTract8035,min15,7.58765229
CensusTract8036.04,min15,7.287872131
CensusTract6809,min15,7.977248899
CensusTract8036.07,min15,7.231310852
CensusTract8094,min15,7.257626742
CensusTract8095,min15,8.33493214
CensusTract8096,min15,4.583574613
CensusTract8097,min15,7.567463281
CensusTract8098,min15,4.328006148
CensusTract8099,min15,4.565217425
CensusTract8100,min15,5.505800884
CensusTract8255.01,min15,5.478432199
CensusTract7201,min15,5.80050472
CensusTract8244,min15,6.080525033
CensusTract7202,min15,9.626945863
CensusTract7203,min15,8.961763204
CensusTract7204,min15,9.134163277
CensusTract7205,min15,8.961763204
CensusTract7206,min15,5.318065106
CensusTract7207,min15,6.013956279
CensusTract406,min15,5.262422364
CensusTract407,min15,9.433098762
CensusTract408,min15,9.422881243
CensusTract8169,min15,9.819709105
CensusTract8170,min15,9.635652849
CensusTract8171.01,min15,9.493745134
CensusTract8171.02,min15,9.583777759
CensusTract8258.01,min15,9.569267931
CensusTract8258.02,min15,9.583777759
CensusTract8258.03,min15,9.089108814
CensusTract8259,min15,9.129502921
CensusTract8260,min15,9.418450949
CensusTract3801,min15,9.062476691
CensusTract3802,min15,9.085765362
CensusTract4312,min15,9.240404618
CensusTract4314,min15,9.177219268
CensusTract8039.02,min15,8.762283211
CensusTract8040,min15,8.931882604
CensusTract8041.04,min15,10.01768324
CensusTract8101,min15,10.06243804
CensusTract8102,min15,11.13261589
CensusTract8103.01,min15,9.131485308
CensusTract501,min15,5.229881439
CensusTract6108,min15,5.696398236
CensusTract6110,min15,5.622097064
CensusTract6111,min15,5.069755443
CensusTract6113,min15,5.841461886
CensusTract6114,min15,5.108427214
CensusTract6115,min15,5.941353447
CensusTract6119,min15,5.932357016
CensusTract6812,min15,6.778351198
CensusTract8103.02,min15,6.279897967
CensusTract8104,min15,9.858454079
CensusTract8107.01,min15,10.87739552
CensusTract8107.02,min15,14.34494139
CensusTract8106,min15,13.69198032
CensusTract8172,min15,10.88288215
CensusTract8174,min15,13.42736722
CensusTract8176,min15,13.78134498
CensusTract6912,min15,13.8454146
CensusTract6911,min15,14.63680992
CensusTract7301,min15,13.69237277
CensusTract7303,min15,13.60017413
CensusTract7304,min15,13.65611014
CensusTract8177,min15,13.65019102
CensusTract8181,min15,10.49030539
CensusTract8261,min15,11.14125367
CensusTract8263.01,min15,13.47790339
CensusTract8263.03,min15,13.33225531
CensusTract8263.04,min15,10.3164844
CensusTract7305,min15,9.140030563
CensusTract7306,min15,9.222650199
CensusTract8028.01,min15,9.219330585
CensusTract3805,min15,10.1164336
CensusTract3812,min15,13.04153262
CensusTract3814,min15,13.05668017
CensusTract4403,min15,9.238138371
CensusTract8047.06,min15,9.979946866
CensusTract8047.10,min15,13.01104083
CensusTract8108,min15,9.029190202
CensusTract8109,min15,10.02057655
CensusTract8110,min15,12.87414841
CensusTract6120,min15,13.06260688
CensusTract6121,min15,13.34859905
CensusTract6201,min15,13.74496191
CensusTract6202,min15,14.13368488
CensusTract6203,min15,14.13415155
CensusTract6204,min15,13.10021451
CensusTract6301,min15,13.01123013
CensusTract8105.01,min15,12.85810132
CensusTract8105.02,min15,9.878328789
CensusTract8122,min15,13.01688455
CensusTract8182,min15,12.64545407
CensusTract8184.02,min15,9.93088294
CensusTract8188,min15,12.61327764
CensusTract8189,min15,12.8426853
CensusTract8264.02,min15,9.294333548
CensusTract8266,min15,9.829805555
CensusTract8267,min15,12.43211068
CensusTract8269.01,min15,12.37538834
CensusTract8269.02,min15,12.85670644
CensusTract7307,min15,13.4074795
CensusTract7401,min15,13.98825994
CensusTract7402,min15,14.37783916
CensusTract7403,min15,14.36669845
CensusTract7404,min15,14.17316376
CensusTract8030.05,min15,13.93570985
CensusTract8030.07,min15,13.22298208
CensusTract3818,min15,12.89239612
CensusTract3819,min15,12.80566283
CensusTract3901,min15,13.12010214
CensusTract3902,min15,13.13491446
CensusTract3903,min15,13.4626827
CensusTract3904,min15,13.45974208
CensusTract3905,min15,13.17401928
CensusTract3906,min15,13.41144406
CensusTract3907,min15,13.18432301
CensusTract8047.11,min15,13.30410671
CensusTract8048.06,min15,13.26090058
CensusTract8048.08,min15,13.47357077
CensusTract8048.09,min15,13.28492168
CensusTract8124,min15,13.29303112
CensusTract8125,min15,13.25807429
CensusTract4406,min15,13.29398262
CensusTract4409,min15,13.48782766
CensusTract4407,min15,13.52183705
CensusTract4408,min15,13.67430898
CensusTract8193,min15,13.84962221
CensusTract8194,min15,13.88683258
CensusTract8195,min15,14.0140279
CensusTract6309,min15,14.09284452
CensusTract6303,min15,13.69537407
CensusTract6305,min15,7.373496922
CensusTract6308,min15,7.462092177
CensusTract6401,min15,6.965507652
CensusTract6403,min15,4.167711363
CensusTract8196,min15,7.214790419
CensusTract8270,min15,8.236788464
CensusTract8271,min15,4.120395706
CensusTract3817,min15,4.259660075
CensusTract8272,min15,5.087492231
CensusTract8273,min15,3.298624738
CensusTract7501,min15,4.536547312
CensusTract7502,min15,5.387033048
CensusTract7503,min15,5.113987243
CensusTract7504,min15,5.245175309
CensusTract7505,min15,5.897325386
CensusTract8049.01,min15,4.878847822
CensusTract8049.02,min15,8.296886236
CensusTract8050.01,min15,7.383098978
CensusTract8050.02,min15,8.548283044
CensusTract1001,min15,14.70986278
CensusTract1003,min15,5.915621311
CensusTract1401,min15,2.458569851
CensusTract1402,min15,4.078043107
CensusTract1404,min15,4.461875004
CensusTract1405,min15,5.929159118
CensusTract8008,min15,5.994094342
CensusTract2427,min15,4.960491034
CensusTract702,min15,5.838744365
CensusTract703,min15,11.48522379
CensusTract704,min15,11.79267596
CensusTract705,min15,7.702969206
CensusTract706,min15,6.952890914
CensusTract707,min15,12.00623923
CensusTract1004,min15,6.810773178
CensusTract1006,min15,8.559590342
CensusTract1007,min15,5.648491694
CensusTract1102,min15,4.114059346
CensusTract1502,min15,3.547065998
CensusTract1503,min15,3.415901086
CensusTract1408,min15,2.954064495
CensusTract2312,min15,3.436136587
CensusTract2311,min15,4.117852227
CensusTract2424,min15,5.422715733
CensusTract2425,min15,3.894812317
CensusTract1202,min15,5.95688375
CensusTract1203,min15,3.098080685
CensusTract1204,min15,3.002575386
CensusTract2315,min15,15.3963171
CensusTract711,min15,16.63540933
CensusTract710,min15,16.14325754
CensusTract712,min15,14.95576862
CensusTract713,min15,15.093881
CensusTract1103,min15,15.14932298
CensusTract2203,min15,8.089494111
CensusTract2204,min15,15.02489927
CensusTract2205,min15,14.88990004
CensusTract2403,min15,15.4112069
CensusTract2405,min15,15.13034973
CensusTract604,min15,16.21915646
CensusTract605,min15,16.17361005
CensusTract2408,min15,6.134862964
CensusTract2406,min15,14.92772364
CensusTract2407,min15,2.513424663
CensusTract2409,min15,3.083231661
CensusTract2426,min15,3.995438312
CensusTract8031,min15,3.989863584
CensusTract3106,min15,3.058182178
CensusTract3107,min15,3.455627461
CensusTract3108,min15,3.709934336
CensusTract206.02,min15,3.893053453
CensusTract3109,min15,4.274157718
CensusTract5101,min15,4.131788352
CensusTract5102,min15,2.820287931
CensusTract5611,min15,3.917643622
CensusTract1907.01,min15,4.58082708
CensusTract209.01,min15,3.762996238
CensusTract102.02,min15,2.172525193
CensusTract5701,min15,2.114066906
CensusTract5702,min15,2.049269837
CensusTract5703,min15,3.070165396
CensusTract5704,min15,3.044410263
CensusTract5705,min15,2.46791589
CensusTract6904,min15,2.45941289
CensusTract6913,min15,2.741453318
CensusTract6914,min15,3.025887127
CensusTract6915,min15,4.078245726
CensusTract3201,min15,2.933382041
CensusTract7105,min15,2.667298043
CensusTract3204,min15,3.503042657
CensusTract5801,min15,3.410351537
CensusTract5802,min15,5.132170117
CensusTract5803,min15,4.368923759
CensusTract5804,min15,3.577620816
CensusTract5806,min15,3.935312769
CensusTract5807,min15,3.753996742
CensusTract6813,min15,15.82208762
CensusTract6814,min15,14.1223549
CensusTract6903,min15,14.60808963
CensusTract6905,min15,13.96373798
CensusTract6909,min15,16.05601666
CensusTract6910,min15,15.3282052
CensusTract7001,min15,15.88965432
CensusTract7002,min15,15.87059319
CensusTract3206,min15,15.83234561
CensusTract3301,min15,15.66726602
CensusTract3302,min15,15.63512691
CensusTract5905,min15,15.29328065
CensusTract5906,min15,14.33245679
CensusTract6712,min15,14.77200196
CensusTract6711,min15,12.96909767
