variable,group,value
Census Tract 8168,15min,12.73600356
Census Tract 7707,15min,12.23445608
Census Tract 8061.02,15min,12.88782538
Census Tract 4307,15min,11.32190054
Census Tract 8081,15min,6.258027191
Census Tract 8048.10,15min,18.77507856
Census Tract 8085,15min,15.30427421
Census Tract 1910,15min,8.176088176
Census Tract 8239.01,15min,13.61196921
Census Tract 5604,15min,13.71118223
Census Tract 7107,15min,7.981870595
Census Tract 5501,15min,15.41622404
Census Tract 2832,15min,15.58302241
Census Tract 9800,15min,6.691089279
Census Tract 9801,15min,12.33505893
Census Tract 1005,15min,16.37300994
Census Tract 8016.07,15min,12.09114023
Census Tract 8041.06,15min,11.62276045
Census Tract 8016.06,15min,12.02755742
Census Tract 8297,15min,8.730463688
Census Tract 8300.03,15min,7.064320889
Census Tract 8237.03,15min,9.735629928
Census Tract 8298,15min,15.39466608
Census Tract 8046.07,15min,14.7742802
Census Tract 8047.09,15min,5.922230592
Census Tract 6302,30min,7.181378248
Census Tract 4304,30min,7.738980831
Census Tract 4306,30min,7.426909458
Census Tract 4308,30min,7.230641903
Census Tract 4305,30min,7.240820796
Census Tract 4309,30min,7.271678126
Census Tract 6103,30min,7.245876291
Census Tract 6810,30min,6.848746618
Census Tract 6811,30min,7.391322547
Census Tract 6805,30min,7.764228325
Census Tract 8034,30min,7.497251914
Census Tract 8035,30min,7.848037163
Census Tract 8036.04,30min,8.129983334
Census Tract 6809,30min,8.585095629
Census Tract 8036.07,30min,7.966617382
Census Tract 8094,30min,7.799838017
Census Tract 8095,30min,7.661511907
Census Tract 8096,30min,8.103975835
Census Tract 8097,30min,8.031312216
Census Tract 8098,30min,8.484999944
Census Tract 8099,30min,8.305464133
Census Tract 8100,30min,9.022879487
Census Tract 8255.01,30min,8.365465202
Census Tract 7201,30min,8.253630749
Census Tract 8244,30min,7.79408085
Census Tract 7202,30min,7.133316872
Census Tract 7203,30min,7.008332271
Census Tract 7204,30min,7.384723473
Census Tract 7205,30min,7.008332271
Census Tract 7206,30min,7.462016524
Census Tract 7207,30min,7.566752855
Census Tract 406,30min,7.653369842
Census Tract 407,30min,7.6887781
Census Tract 408,30min,7.496974505
Census Tract 8169,30min,8.412609393
Census Tract 8170,30min,8.429640355
Census Tract 8171.01,30min,7.545080766
Census Tract 8171.02,30min,8.327298118
Census Tract 8258.01,30min,8.030959785
Census Tract 8258.02,30min,8.327298118
Census Tract 8258.03,30min,8.47225045
Census Tract 8259,30min,8.532946341
Census Tract 8260,30min,8.719149168
Census Tract 3801,30min,8.212716595
Census Tract 3802,30min,7.816467936
Census Tract 4312,30min,7.914666388
Census Tract 4314,30min,8.915057194
Census Tract 8039.02,30min,8.089520966
Census Tract 8040,30min,8.188117677
Census Tract 8041.04,30min,9.420104073
Census Tract 8101,30min,9.454027351
Census Tract 8102,30min,9.790192777
Census Tract 8103.01,30min,8.717170099
Census Tract 501,30min,8.702826037
Census Tract 6108,30min,9.027349861
Census Tract 6110,30min,9.170122776
Census Tract 6111,30min,9.230989211
Census Tract 6113,30min,9.056302185
Census Tract 6114,30min,8.546676856
Census Tract 6115,30min,9.622262191
Census Tract 6119,30min,9.626927945
Census Tract 6812,30min,9.808771204
Census Tract 8103.02,30min,9.626579639
Census Tract 8104,30min,9.680264609
Census Tract 8107.01,30min,9.966590152
Census Tract 8107.02,30min,10.18687461
Census Tract 8106,30min,10.07839004
Census Tract 8172,30min,9.954446752
Census Tract 8174,30min,10.04638797
Census Tract 8176,30min,10.29701384
Census Tract 6912,30min,10.5767744
Census Tract 6911,30min,10.59372654
Census Tract 7301,30min,10.32635352
Census Tract 7303,30min,10.28689006
Census Tract 7304,30min,10.39728718
Census Tract 8177,30min,10.39619808
Census Tract 8181,30min,9.79057539
Census Tract 8261,30min,9.843673493
Census Tract 8263.01,30min,10.12257473
Census Tract 8263.03,30min,10.07262874
Census Tract 8263.04,30min,9.760719518
Census Tract 7305,30min,9.416761413
Census Tract 7306,30min,8.915649095
Census Tract 8028.01,30min,8.987180931
Census Tract 3805,30min,9.641575337
Census Tract 3812,30min,9.709165794
Census Tract 3814,30min,9.753272592
Census Tract 4403,30min,8.991516713
Census Tract 8047.06,30min,9.057864485
Census Tract 8047.10,30min,8.993569013
Census Tract 8108,30min,8.834298881
Census Tract 8109,30min,9.156834962
Census Tract 8110,30min,9.894370036
Census Tract 6120,30min,10.09383022
Census Tract 6121,30min,10.2780307
Census Tract 6201,30min,10.36625536
Census Tract 6202,30min,10.38157739
Census Tract 6203,30min,10.38746031
Census Tract 6204,30min,10.18917174
Census Tract 6301,30min,10.0412119
Census Tract 8105.01,30min,9.462432395
Census Tract 8105.02,30min,9.10034101
Census Tract 8122,30min,9.015394839
Census Tract 8182,30min,9.175381629
Census Tract 8184.02,30min,9.007870857
Census Tract 8188,30min,9.010590388
Census Tract 8189,30min,9.21706128
Census Tract 8264.02,30min,8.959015714
Census Tract 8266,30min,9.107518882
Census Tract 8267,30min,9.395003985
Census Tract 8269.01,30min,9.390015229
Census Tract 8269.02,30min,10.14031662
Census Tract 7307,30min,10.25475957
Census Tract 7401,30min,10.3605783
Census Tract 7402,30min,10.55059761
Census Tract 7403,30min,10.47582871
Census Tract 7404,30min,10.44600604
Census Tract 8030.05,30min,10.42454365
Census Tract 8030.07,30min,10.26617365
Census Tract 3818,30min,10.157698
Census Tract 3819,30min,10.10852028
Census Tract 3901,30min,10.16921432
Census Tract 3902,30min,10.16921432
Census Tract 3903,30min,10.4776665
Census Tract 3904,30min,9.962699005
Census Tract 3905,30min,9.761331542
Census Tract 3906,30min,10.29970243
Census Tract 3907,30min,10.45823098
Census Tract 8047.11,30min,10.30449407
Census Tract 8048.06,30min,9.754288657
Census Tract 8048.08,30min,10.01626741
Census Tract 8048.09,30min,10.01723195
Census Tract 8124,30min,10.02922118
Census Tract 8125,30min,10.01145805
Census Tract 4406,30min,9.939216668
Census Tract 4409,30min,9.55015799
Census Tract 4407,30min,9.577342258
Census Tract 4408,30min,9.609102971
Census Tract 8193,30min,10.13333421
Census Tract 8194,30min,10.23838702
Census Tract 8195,30min,10.23821223
Census Tract 6309,30min,10.35263607
Census Tract 6303,30min,10.05089805
Census Tract 6305,30min,10.50649165
Census Tract 6308,30min,11.50103652
Census Tract 6401,30min,11.63713738
Census Tract 6403,30min,12.40733488
Census Tract 8196,30min,11.46833506
Census Tract 8270,30min,12.9211695
Census Tract 8271,30min,11.38682945
Census Tract 3817,30min,11.60001121
Census Tract 8272,30min,12.88439999
Census Tract 8273,30min,11.653328
Census Tract 7501,30min,12.32793696
Census Tract 7502,30min,12.53916877
Census Tract 7503,30min,12.75925622
Census Tract 7504,30min,12.54268493
Census Tract 7505,30min,12.41361711
Census Tract 8049.01,30min,12.31875489
Census Tract 8049.02,30min,9.805727138
Census Tract 8050.01,30min,11.12235978
Census Tract 8050.02,30min,11.54992509
Census Tract 1001,30min,12.56019511
Census Tract 1003,30min,9.938868691
Census Tract 1401,30min,9.253662202
Census Tract 1402,30min,9.267057127
Census Tract 1404,30min,9.456559803
Census Tract 1405,30min,9.833598968
Census Tract 8008,30min,11.55278583
Census Tract 2427,30min,10.68898596
Census Tract 702,30min,12.09721838
Census Tract 703,30min,12.03627235
Census Tract 704,30min,12.00415641
Census Tract 705,30min,11.52495347
Census Tract 706,30min,10.94428459
Census Tract 707,30min,11.49819284
Census Tract 1004,30min,9.992783825
Census Tract 1006,30min,12.4245114
Census Tract 1007,30min,12.32896626
Census Tract 1102,30min,12.27060145
Census Tract 1502,30min,12.04839476
Census Tract 1503,30min,12.10733285
Census Tract 1408,30min,11.70345038
Census Tract 2312,30min,11.59285326
Census Tract 2311,30min,11.64190082
Census Tract 2424,30min,11.72862095
Census Tract 2425,30min,10.77294849
Census Tract 1202,30min,11.8295166
Census Tract 1203,30min,10.41259748
Census Tract 1204,30min,10.27181684
Census Tract 2315,30min,12.46661175
Census Tract 711,30min,12.74064556
Census Tract 710,30min,12.52195376
Census Tract 712,30min,12.05578222
Census Tract 713,30min,11.65285726
Census Tract 1103,30min,12.05566469
Census Tract 2203,30min,10.63480199
Census Tract 2204,30min,11.5343031
Census Tract 2205,30min,11.74751679
Census Tract 2403,30min,12.40787873
Census Tract 2405,30min,12.24457074
Census Tract 604,30min,12.58895045
Census Tract 605,30min,12.53735183
Census Tract 2408,30min,11.664561
Census Tract 2406,30min,12.26945287
Census Tract 2407,30min,9.761919248
Census Tract 2409,30min,11.22255055
Census Tract 2426,30min,10.38395137
Census Tract 8031,30min,10.20248354
Census Tract 3106,30min,10.03440682
Census Tract 3107,30min,9.570245467
Census Tract 3108,30min,9.174573848
Census Tract 206.02,30min,9.607419516
Census Tract 3109,30min,9.344234953
Census Tract 5101,30min,9.692999605
Census Tract 5102,30min,8.644444225
Census Tract 5611,30min,9.317452298
Census Tract 1907.01,30min,10.88806099
Census Tract 209.01,30min,10.59115634
Census Tract 102.02,30min,9.681230833
Census Tract 5701,30min,8.426669923
Census Tract 5702,30min,8.570404692
Census Tract 5703,30min,8.29003339
Census Tract 5704,30min,8.35926031
Census Tract 5705,30min,8.64835189
Census Tract 6904,30min,8.57801213
Census Tract 6913,30min,10.25122117
Census Tract 6914,30min,10.30568192
Census Tract 6915,30min,9.796912201
Census Tract 3201,30min,9.457166283
Census Tract 7105,30min,8.5922932
Census Tract 3204,30min,8.170854395
Census Tract 5801,30min,8.384393182
Census Tract 5802,30min,10.8416888
Census Tract 5803,30min,9.83122225
Census Tract 5804,30min,9.501466141
Census Tract 5806,30min,9.491452196
Census Tract 5807,30min,9.433446109
Census Tract 6813,30min,12.07813777
Census Tract 6814,30min,11.72786571
Census Tract 6903,30min,11.99225972
Census Tract 6905,30min,10.95251959
Census Tract 6909,30min,12.6886903
Census Tract 6910,30min,12.18319853
Census Tract 7001,30min,12.20697562
Census Tract 7002,30min,12.08269566
Census Tract 3206,30min,12.01216179
Census Tract 3301,30min,11.96485468
Census Tract 3302,30min,12.058207
Census Tract 5905,30min,11.51923151
Census Tract 5906,30min,11.44434507
Census Tract 6712,30min,11.99449469
Census Tract 6711,30min,10.45934953
Census Tract 6713,30min,10.46063476
Census Tract 6715,30min,9.455013259
Census Tract 6716,30min,9.768006938
Census Tract 6718,30min,10.4992332
Census Tract 6719,30min,10.53653237
Census Tract 7101,30min,10.57429824
Census Tract 7102,30min,10.66373461
Census Tract 7104,30min,10.57741477
Census Tract 4303,30min,10.83875376
Census Tract 7106,30min,10.95703249
Census Tract 7108,30min,10.76150513
Census Tract 3403,30min,10.51309415
Census Tract 3405,30min,9.886939687
Census Tract 3406,30min,9.85185773
Census Tract 4302,30min,9.661200151
Census Tract 5103,30min,9.586708853
Census Tract 5201,30min,9.78720459
Census Tract 5907,30min,9.797134468
Census Tract 6004,30min,9.672680811
Census Tract 8241.15,30min,9.567486075
Census Tract 8253.03,30min,9.330920234
Census Tract 8300.07,30min,8.782396608
Census Tract 8138.01,30min,9.461436942
Census Tract 8306,30min,9.633533899
Census Tract 8308,30min,9.699517611
Census Tract 8307,30min,8.929719607
Census Tract 8309,30min,8.997227537
Census Tract 8352,30min,8.998857337
Census Tract 8399,30min,11.07593927
Census Tract 8397,30min,10.85469975
Census Tract 8398,30min,10.73092278
Census Tract 8348,30min,10.57822748
Census Tract 8347,30min,10.52344399
Census Tract 8320,30min,9.988827916
Census Tract 8325,30min,9.547523784
Census Tract 8323,30min,10.49656197
Census Tract 8383,30min,10.5637033
Census Tract 8318,30min,10.80844779
Census Tract 8317,30min,9.947076503
Census Tract 8351,30min,10.24980116
Census Tract 8350,30min,11.07961995
Census Tract 8437,30min,10.90484337
Census Tract 2207.02,30min,10.59714058
Census Tract 8421,30min,10.35896806
Census Tract 8433,30min,9.884637742
Census Tract 8241.23,30min,9.61446909
Census Tract 8044.05,30min,9.930355692
Census Tract 8311,30min,9.933030359
Census Tract 8315,30min,9.550098797
Census Tract 8316,30min,9.06796278
Census Tract 8312,30min,9.657834438
Census Tract 8310,30min,9.812047733
Census Tract 8430,30min,9.180207595
Census Tract 8431,30min,9.911427531
Census Tract 8429,30min,10.07237454
Census Tract 8435,30min,10.18057962
Census Tract 8420,30min,10.60153892
Census Tract 8080.02,30min,10.29656734
Census Tract 301.01,30min,9.242690191
Census Tract 307.01,30min,8.672393295
Census Tract 701.03,30min,8.87182862
Census Tract 8071,30min,8.065335003
Census Tract 8072,30min,8.420267599
Census Tract 8073,30min,8.615390395
Census Tract 8074,30min,9.236395204
Census Tract 8075,30min,9.709059049
Census Tract 8077,30min,9.022862329
Census Tract 8079,30min,8.622428595
Census Tract 8080.01,30min,8.47490385
Census Tract 8043.11,30min,8.36779295
Census Tract 8083.01,30min,8.580929033
Census Tract 8083.02,30min,8.860959304
Census Tract 8086,30min,9.448327595
Census Tract 8087.02,30min,9.620993057
Census Tract 7702.02,30min,8.907138532
Census Tract 7706.02,30min,8.775538432
Census Tract 8061.04,30min,8.875587364
Census Tract 8025.06,30min,9.16353734
Census Tract 8025.05,30min,9.594070505
Census Tract 8024.04,30min,10.02982926
Census Tract 8030.17,30min,8.818948018
Census Tract 8047.14,30min,8.537870263
Census Tract 8043.10,30min,8.76085881
Census Tract 8044.03,30min,8.993990812
Census Tract 8206.06,30min,9.726090043
Census Tract 8044.06,30min,9.635010712
Census Tract 8047.16,30min,8.8627104
Census Tract 8062.01,30min,9.467097352
Census Tract 8206.04,30min,9.082148841
Census Tract 8241.16,30min,9.666607577
Census Tract 8240.05,30min,10.13643019
Census Tract 8241.14,30min,9.312739018
Census Tract 8238.06,30min,9.340153843
Census Tract 8240.03,30min,9.289714254
Census Tract 8241.22,30min,9.33469888
Census Tract 8241.17,30min,9.317649719
Census Tract 8319,30min,11.09232732
Census Tract 8045.06,30min,10.06765279
Census Tract 8241.19,30min,9.740702168
Census Tract 8241.20,30min,9.560192196
Census Tract 8395,30min,11.03565255
Census Tract 8326,30min,9.538379693
Census Tract 8369,30min,9.671248224
Census Tract 8412,30min,9.757930588
Census Tract 8419,30min,9.530272135
Census Tract 8358,30min,9.575100817
Census Tract 8388,30min,9.189151588
Census Tract 8423,30min,9.239315712
Census Tract 8155,30min,9.619071603
Census Tract 8432,30min,9.153941653
Census Tract 8434,30min,9.233363032
Census Tract 8426,30min,9.193111026
Census Tract 8032,30min,9.146978326
Census Tract 8033,30min,9.286701724
Census Tract 8089,30min,9.264575624
Census Tract 8090,30min,9.380462754
Census Tract 3018.03,30min,9.371760288
Census Tract 8091,30min,9.48063405
Census Tract 8092,30min,9.527504783
Census Tract 8093,30min,9.281294772
Census Tract 2210,30min,9.066408306
Census Tract 2211,30min,9.324733142
Census Tract 2428,30min,9.165339948
Census Tract 2429,30min,9.246544585
Census Tract 2430,30min,9.170076525
Census Tract 2431,30min,11.29206051
Census Tract 2432,30min,10.36765884
Census Tract 2433,30min,10.23382913
Census Tract 2434,30min,10.08394559
Census Tract 714,30min,9.901572997
Census Tract 1104,30min,9.948907474
Census Tract 1506,30min,9.950012102
Census Tract 1507,30min,9.634318255
Census Tract 1508,30min,9.125416446
Census Tract 1511,30min,10.24726991
Census Tract 1512,30min,10.32211932
Census Tract 2415,30min,10.03748466
Census Tract 2411,30min,10.09197815
Census Tract 2416,30min,10.37080252
Census Tract 2413,30min,10.56079481
Census Tract 2414,30min,10.37848118
Census Tract 2435,30min,10.03492313
Census Tract 2502,30min,9.672221299
Census Tract 2503,30min,9.694732703
Census Tract 2504,30min,9.069451384
Census Tract 2505,30min,9.381993229
Census Tract 715,30min,9.956835223
Census Tract 718,30min,10.23699826
Census Tract 801,30min,8.981453706
Census Tract 803,30min,9.216684146
Census Tract 804,30min,9.344839405
Census Tract 1601,30min,10.00281891
Census Tract 1602,30min,9.904029157
Census Tract 1603,30min,9.314815122
Census Tract 1604,30min,9.62212942
Census Tract 1607,30min,9.62212942
Census Tract 2213,30min,9.439040769
Census Tract 2215,30min,9.101914496
Census Tract 2214,30min,8.802934117
Census Tract 2506,30min,8.763789164
Census Tract 2507,30min,8.840124481
Census Tract 2508,30min,8.906852133
Census Tract 2510,30min,8.73766914
Census Tract 2511,30min,8.487921285
Census Tract 514,30min,8.452685837
Census Tract 601,30min,9.671937931
Census Tract 603,30min,9.221212346
Census Tract 608,30min,9.550742857
Census Tract 1608,30min,9.421919297
Census Tract 1609,30min,8.244925804
Census Tract 1610,30min,8.192831531
Census Tract 1611,30min,8.584087305
Census Tract 1612,30min,7.539118678
Census Tract 1613,30min,7.539118678
Census Tract 1701,30min,7.522556164
Census Tract 2216,30min,8.264981065
Census Tract 2421,30min,8.236487857
Census Tract 2420,30min,7.694337303
Census Tract 2512,30min,7.204585619
Census Tract 2513,30min,7.289468899
Census Tract 513,30min,7.414424873
Census Tract 6007,30min,7.628573033
Census Tract 6009,30min,8.505696328
Census Tract 8212,30min,8.605067169
Census Tract 6720,30min,8.999254549
Census Tract 7109,30min,8.624199117
Census Tract 7110,30min,7.711013255
Census Tract 7111,30min,9.232579349
Census Tract 7112,30min,7.056046551
Census Tract 7115,30min,6.707597241
Census Tract 7113,30min,7.221432224
Census Tract 7114,30min,7.312907869
Census Tract 2705,30min,7.783412291
Census Tract 2712,30min,7.2534494
Census Tract 2713,30min,6.823471981
Census Tract 2714,30min,6.67188296
Census Tract 3501,30min,6.90371446
Census Tract 3504,30min,7.320864139
Census Tract 3510,30min,7.0097839
Census Tract 3514,30min,6.776185163
Census Tract 3602,30min,6.75069503
Census Tract 8139,30min,6.454004413
Census Tract 8226.01,30min,7.860174308
Census Tract 8227.01,30min,7.714131964
Census Tract 8227.02,30min,8.593261148
Census Tract 8228.01,30min,8.331442566
Census Tract 8230.02,30min,9.499506633
Census Tract 8140,30min,8.52393653
Census Tract 8141,30min,8.288070382
Census Tract 8142,30min,7.705596765
Census Tract 8143,30min,8.154864237
Census Tract 8144,30min,7.768248482
Census Tract 8231.01,30min,6.170824968
Census Tract 8233.02,30min,6.259842014
Census Tract 8233.03,30min,6.773350051
Census Tract 8235,30min,6.420969414
Census Tract 8145,30min,6.925289706
Census Tract 8146,30min,7.405943114
Census Tract 8148,30min,7.313505582
Census Tract 8149,30min,6.900461911
Census Tract 8150,30min,7.539649096
Census Tract 8151,30min,7.269213316
Census Tract 8236.02,30min,7.964041541
Census Tract 8236.04,30min,7.515919839
Census Tract 8236.05,30min,7.305410269
Census Tract 8237.02,30min,7.657740007
Census Tract 1605.01,30min,7.736828448
Census Tract 8152,30min,8.435853269
Census Tract 8153,30min,8.24393503
Census Tract 8154,30min,8.295213489
Census Tract 8237.04,30min,8.727652507
Census Tract 8237.05,30min,8.585226667
Census Tract 8241.08,30min,8.194436397
Census Tract 8158,30min,7.418982024
Census Tract 8159,30min,7.765208057
Census Tract 8160,30min,7.848439974
Census Tract 8162,30min,7.794626184
Census Tract 8245.07,30min,7.321153322
Census Tract 8246.02,30min,7.427675874
Census Tract 8247.01,30min,6.958584639
Census Tract 8247.02,30min,7.155283378
Census Tract 8252,30min,6.935182749
Census Tract 401,30min,7.111324318
Census Tract 403,30min,7.272272138
Census Tract 8163,30min,7.069631944
Census Tract 8164.01,30min,6.945178708
Census Tract 8164.02,30min,6.209811016
Census Tract 8166,30min,6.011204529
Census Tract 8167,30min,6.175252149
Census Tract 8255.03,30min,6.440319129
Census Tract 8255.04,30min,5.135858649
Census Tract 8255.05,30min,5.565627836
Census Tract 8257,30min,6.998086906
Census Tract 6603.01,30min,7.429392403
Census Tract 2207.01,30min,7.564057281
Census Tract 633.02,30min,5.918449179
Census Tract 2522.01,30min,5.31442904
Census Tract 6603.02,30min,7.048856975
Census Tract 7302.02,30min,8.071123269
Census Tract 8133.02,30min,6.647629044
Census Tract 8137.02,30min,5.056335425
Census Tract 8133.01,30min,6.443110749
Census Tract 8024.03,30min,2.383412033
Census Tract 8030.16,30min,3.53236765
Census Tract 8037.01,30min,10.03094799
Census Tract 8041.08,30min,9.908172736
Census Tract 8047.15,30min,9.851747946
Census Tract 8356,30min,9.735670629
Census Tract 8400,30min,9.65410633
Census Tract 8364,30min,9.789960544
Census Tract 8361,30min,9.610837877
Census Tract 8346,30min,9.499816214
Census Tract 8436,30min,9.290906144
Census Tract 619.02,30min,9.414264849
Census Tract 301.02,30min,9.373639622
Census Tract 301.03,30min,9.179603047
Census Tract 307.06,30min,9.2190916
Census Tract 306.01,30min,9.018862188
Census Tract 812.02,30min,9.483703049
Census Tract 633.03,30min,9.487754131
Census Tract 2209.01,30min,9.466977518
Census Tract 2106.02,30min,9.37267255
Census Tract 2206.02,30min,9.412226306
Census Tract 2206.01,30min,9.254335126
Census Tract 404.01,30min,9.32878922
Census Tract 2522.02,30min,9.352310704
Census Tract 2521.02,30min,9.162860739
Census Tract 7706.01,30min,9.740638337
Census Tract 8061.03,30min,9.580796088
Census Tract 8026.10,30min,9.501573558
Census Tract 8026.09,30min,9.677260634
Census Tract 8046.10,30min,9.780441847
Census Tract 7702.01,30min,9.806964008
Census Tract 8043.08,30min,9.521006284
Census Tract 8206.05,30min,8.944896661
Census Tract 8363,30min,9.357997649
Census Tract 8345,30min,9.618912207
Census Tract 8359,30min,9.060955522
Census Tract 8360,30min,9.244609378
Census Tract 8362,30min,9.345771613
Census Tract 8344,30min,9.290528628
Census Tract 8343,30min,9.051548824
Census Tract 701.01,30min,8.913466127
Census Tract 1105.01,30min,8.107760239
Census Tract 301.04,30min,8.751450644
Census Tract 814.01,30min,8.947912955
Census Tract 4301.02,30min,8.870967912
Census Tract 7709.02,30min,9.057209102
Census Tract 8241.21,30min,9.103903386
Census Tract 4301.01,30min,8.661957116
Census Tract 8041.09,30min,8.991369296
Census Tract 8045.07,30min,8.966062718
Census Tract 8046.11,30min,8.562614663
Census Tract 8240.04,30min,8.952318857
Census Tract 8240.06,30min,8.887937187
Census Tract 2521.01,30min,8.536205532
Census Tract 105.01,30min,8.451143584
Census Tract 207.01,30min,8.765402013
Census Tract 102.01,30min,7.621598422
Census Tract 7608.01,30min,8.253773468
Census Tract 8390,30min,8.981035254
Census Tract 4402.01,30min,8.684977985
Census Tract 5401.01,30min,8.401637869
Census Tract 8020.04,30min,9.065653194
Census Tract 8020.03,30min,8.379349483
Census Tract 8030.13,30min,8.48678881
Census Tract 8026.08,30min,8.887707802
Census Tract 8030.15,30min,8.351823279
Census Tract 8030.14,30min,8.723512411
Census Tract 8340,30min,8.37587112
Census Tract 8339,30min,7.629558158
Census Tract 8192,30min,7.232405289
Census Tract 8156,30min,7.292145333
Census Tract 8180,30min,7.402411154
Census Tract 8120,30min,7.525506341
Census Tract 8294.02,30min,7.581357429
Census Tract 8113.02,30min,7.351575321
Census Tract 8028.02,30min,7.335041666
Census Tract 8198.01,30min,7.792243884
Census Tract 8198.02,30min,7.348357168
Census Tract 8199,30min,7.370037703
Census Tract 8200,30min,7.285736209
Census Tract 8274,30min,6.931853111
Census Tract 8276,30min,8.914526078
Census Tract 2827,30min,8.760009671
Census Tract 2828,30min,8.716607716
Census Tract 4003,30min,8.798694759
Census Tract 4005,30min,7.597309881
Census Tract 4008,30min,7.599729254
Census Tract 4101,30min,7.801845204
Census Tract 4105,30min,7.9569912
Census Tract 4106,30min,8.596164039
Census Tract 4601,30min,7.953332486
Census Tract 8051.05,30min,7.630419665
Census Tract 8277,30min,7.56430493
Census Tract 8278.02,30min,7.517931081
Census Tract 8278.04,30min,7.604027473
Census Tract 4503,30min,7.747384838
Census Tract 4602,30min,7.597172149
Census Tract 8051.06,30min,7.577184263
Census Tract 8051.07,30min,7.248415873
Census Tract 8051.08,30min,9.054679709
Census Tract 6404,30min,8.685967402
Census Tract 6405,30min,9.436509492
Census Tract 6406,30min,8.749145606
Census Tract 6407,30min,8.126153318
Census Tract 6408,30min,9.2145079
Census Tract 6501,30min,8.194012508
Census Tract 6502,30min,7.913829359
Census Tract 2804,30min,9.881607119
Census Tract 8114.01,30min,9.830410282
Census Tract 8113.01,30min,9.359776747
Census Tract 7506,30min,9.31652647
Census Tract 8126,30min,9.900179999
Census Tract 8030.08,30min,9.797875894
Census Tract 8051.10,30min,9.595076851
Census Tract 8051.11,30min,9.555111428
Census Tract 8051.12,30min,9.401898883
Census Tract 8052.01,30min,8.093028478
Census Tract 8203,30min,7.056717871
Census Tract 8204,30min,7.12785803
Census Tract 8209.02,30min,7.49136658
Census Tract 8210.01,30min,6.51351869
Census Tract 8278.05,30min,6.824878277
Census Tract 8280,30min,6.106639611
Census Tract 8281,30min,7.014627794
Census Tract 8282.02,30min,6.764748616
Census Tract 2831,30min,8.457913858
Census Tract 2838,30min,7.959407861
Census Tract 4107,30min,8.064250571
Census Tract 4108,30min,7.529229322
Census Tract 8290,30min,7.850773908
Census Tract 4109,30min,8.159156248
Census Tract 4110,30min,8.091379935
Census Tract 4111,30min,8.52803715
Census Tract 4112,30min,8.549686602
Census Tract 4606,30min,8.094829596
Census Tract 4607,30min,8.285057292
Census Tract 4604,30min,7.515120953
Census Tract 4605,30min,7.735346708
Census Tract 4610,30min,8.311555415
Census Tract 8292,30min,8.466932018
Census Tract 8293.01,30min,7.319773002
Census Tract 8293.02,30min,7.794113759
Census Tract 8294.01,30min,7.65843335
Census Tract 8052.02,30min,7.234661126
Census Tract 8053.01,30min,5.90344423
Census Tract 8053.02,30min,7.364576405
Census Tract 8054.01,30min,7.527829783
Census Tract 7704,30min,8.586221089
Census Tract 8001,30min,7.778988744
Census Tract 8003,30min,8.218282959
Census Tract 8129,30min,7.772306487
Census Tract 8130,30min,8.355957231
Census Tract 8131,30min,8.70634452
Census Tract 8005,30min,8.367316245
Census Tract 8211.01,30min,7.85455273
Census Tract 8211.02,30min,5.75667737
Census Tract 8213,30min,4.370967637
Census Tract 8210.02,30min,4.789074454
Census Tract 8284.01,30min,4.644247213
Census Tract 8284.02,30min,7.773448146
Census Tract 8285.04,30min,7.686817923
Census Tract 4201,30min,7.349705524
Census Tract 4202,30min,7.350940039
Census Tract 4204,30min,7.645635232
Census Tract 4207,30min,7.802546289
Census Tract 8054.02,30min,12.55679681
Census Tract 8055.01,30min,10.59868821
Census Tract 8296,30min,11.28209528
Census Tract 4208,30min,5.91426763
Census Tract 4701,30min,6.16981546
Census Tract 4801,30min,5.396771125
Census Tract 4802,30min,6.412262059
Census Tract 4803,30min,11.64114125
Census Tract 4804,30min,8.136436083
Census Tract 8055.02,30min,12.10319109
Census Tract 8056,30min,13.32718678
Census Tract 8300.01,30min,7.811555498
Census Tract 8300.06,30min,10.8998828
Census Tract 6504,30min,11.55881165
Census Tract 6505,30min,4.151851127
Census Tract 6604,30min,4.617499454
Census Tract 8006,30min,5.86458696
Census Tract 8010,30min,4.618177333
Census Tract 8011,30min,7.134819756
Census Tract 8012,30min,4.837902672
Census Tract 8114.02,30min,8.271505816
Census Tract 8134,30min,8.588664929
Census Tract 8132,30min,8.93452346
Census Tract 8214.01,30min,8.17360268
Census Tract 8057.02,30min,7.058062114
Census Tract 8058.02,30min,4.803675034
Census Tract 8214.02,30min,4.986818967
Census Tract 8216,30min,8.644313989
Census Tract 8217,30min,5.521255612
Census Tract 2909,30min,3.684329824
Census Tract 2912,30min,5.81208951
Census Tract 4212,30min,4.466584992
Census Tract 8060.01,30min,5.735962445
Census Tract 8060.03,30min,5.780517275
Census Tract 8013,30min,6.099487085
Census Tract 8014,30min,4.657319014
Census Tract 8016.03,30min,4.770225077
Census Tract 8017.01,30min,6.296820376
Census Tract 8060.04,30min,5.496062191
Census Tract 8063,30min,8.566544202
Census Tract 8064,30min,5.661337564
Census Tract 8065.01,30min,4.539289758
Census Tract 2715,30min,5.977429795
Census Tract 2922,30min,5.949152493
Census Tract 2924,30min,8.524162323
Census Tract 2925,30min,5.900476663
Census Tract 8067,30min,4.766909805
Census Tract 8068.01,30min,4.129489591
Census Tract 8068.02,30min,4.393120149
