variable,group,value
Census Tract 705,15min,7.702969206
Census Tract 706,15min,6.952890914
Census Tract 707,15min,12.00623923
Census Tract 1004,15min,6.810773178
Census Tract 1006,15min,8.559590342
Census Tract 1007,15min,5.648491694
Census Tract 1102,15min,4.114059346
Census Tract 1502,15min,3.547065998
Census Tract 1503,15min,3.415901086
Census Tract 1408,15min,2.954064495
Census Tract 2312,15min,3.436136587
Census Tract 2311,15min,4.117852227
Census Tract 2424,15min,5.422715733
Census Tract 2425,15min,3.894812317
Census Tract 1202,15min,5.95688375
Census Tract 1203,15min,3.098080685
Census Tract 1204,15min,3.002575386
Census Tract 2315,15min,15.3963171
Census Tract 711,15min,16.63540933
Census Tract 710,15min,16.14325754
Census Tract 712,15min,14.95576862
Census Tract 713,15min,15.093881
Census Tract 1103,15min,15.14932298
Census Tract 2203,15min,8.089494111
Census Tract 2204,15min,15.02489927
Census Tract 2205,15min,14.88990004
Census Tract 2403,15min,15.4112069
Census Tract 2405,15min,15.13034973
Census Tract 604,15min,16.21915646
Census Tract 605,15min,16.17361005
Census Tract 2408,15min,6.134862964
Census Tract 2406,15min,14.92772364
Census Tract 2407,15min,2.513424663
Census Tract 2409,15min,3.083231661
Census Tract 2426,15min,3.995438312
Census Tract 8031,15min,3.989863584
Census Tract 3106,15min,3.058182178
Census Tract 3107,15min,3.455627461
Census Tract 3108,15min,3.709934336
Census Tract 206.02,15min,3.893053453
Census Tract 3109,15min,4.274157718
Census Tract 5101,15min,4.131788352
Census Tract 5102,15min,2.820287931
Census Tract 5611,15min,3.917643622
Census Tract 1907.01,15min,4.58082708
Census Tract 209.01,15min,3.762996238
Census Tract 102.02,15min,2.172525193
Census Tract 5701,15min,2.114066906
Census Tract 5702,15min,2.049269837
Census Tract 5703,15min,3.070165396
Census Tract 5704,15min,3.044410263
Census Tract 5705,15min,2.46791589
Census Tract 6904,15min,2.45941289
Census Tract 6913,15min,2.741453318
Census Tract 6914,15min,3.025887127
Census Tract 6915,15min,4.078245726
Census Tract 3201,15min,2.933382041
Census Tract 7105,15min,2.667298043
Census Tract 3204,15min,3.503042657
Census Tract 5801,15min,3.410351537
Census Tract 5802,15min,5.132170117
Census Tract 5803,15min,4.368923759
Census Tract 5804,15min,3.577620816
Census Tract 5806,15min,3.935312769
Census Tract 5807,15min,3.753996742
Census Tract 6813,15min,15.82208762
Census Tract 6814,15min,14.1223549
Census Tract 6903,15min,14.60808963
Census Tract 6905,15min,13.96373798
Census Tract 6909,15min,16.05601666
Census Tract 6910,15min,15.3282052
Census Tract 7001,15min,15.88965432
Census Tract 7002,15min,15.87059319
Census Tract 3206,15min,15.83234561
Census Tract 3301,15min,15.66726602
Census Tract 3302,15min,15.63512691
Census Tract 5905,15min,15.29328065
Census Tract 5906,15min,14.33245679
Census Tract 6712,15min,14.77200196
Census Tract 6711,15min,12.96909767
Census Tract 6713,15min,13.86593316
Census Tract 6715,15min,5.158996629
Census Tract 6716,15min,9.737700069
Census Tract 6718,15min,12.97952267
Census Tract 6719,15min,13.77018215
Census Tract 7101,15min,13.54653503
Census Tract 7102,15min,14.6463975
Census Tract 7104,15min,13.5370449
Census Tract 4303,15min,15.50978048
Census Tract 7106,15min,15.36893864
Census Tract 7108,15min,14.5657742
Census Tract 3403,15min,13.78882797
Census Tract 3405,15min,13.94054207
Census Tract 3406,15min,13.54404784
Census Tract 4302,15min,12.57743868
Census Tract 5103,15min,12.39009427
Census Tract 5201,15min,13.7423662
Census Tract 5907,15min,13.57909385
Census Tract 6004,15min,13.08018008
Census Tract 8241.15,15min,12.70173345
Census Tract 8253.03,15min,8.373996043
Census Tract 8300.07,15min,7.489962492
Census Tract 8138.01,15min,13.11255994
Census Tract 8306,15min,13.05336176
Census Tract 8308,15min,13.48608937
Census Tract 8307,15min,8.420255818
Census Tract 8309,15min,8.727054383
Census Tract 8352,15min,11.80844724
Census Tract 8399,15min,14.70134001
Census Tract 8397,15min,14.53160479
Census Tract 8398,15min,14.20747387
Census Tract 8348,15min,14.40889802
Census Tract 8347,15min,14.12360294
Census Tract 8320,15min,14.36938787
Census Tract 8325,15min,12.53416876
Census Tract 8323,15min,14.31263052
Census Tract 8383,15min,14.25567632
Census Tract 8318,15min,14.50889165
Census Tract 8317,15min,13.78752744
Census Tract 8351,15min,13.57598094
Census Tract 8350,15min,14.67443601
Census Tract 8437,15min,14.75836593
Census Tract 2207.02,15min,14.47940483
Census Tract 8421,15min,13.74360647
Census Tract 8433,15min,13.2054798
