variable,group,value,id
Census Tract 6302,min15,7.402228987,17031010100
Census Tract 4304,min15,7.460937079,17031010201
Census Tract 4306,min15,7.489170462,17031010202
Census Tract 4308,min15,7.42562409,17031010300
Census Tract 4305,min15,8.422804351,17031010400
Census Tract 4309,min15,8.182722558,17031010501
Census Tract 6103,min15,8.427987383,17031010502
Census Tract 6810,min15,5.793424807,17031010503
Census Tract 6811,min15,8.237951531,17031010600
Census Tract 6805,min15,7.670835662,17031010701
Census Tract 8034,min15,7.795743341,17031010702
Census Tract 8035,min15,7.58765229,17031020100
Census Tract 8036.04,min15,7.287872131,17031020200
Census Tract 6809,min15,7.977248899,17031020301
Census Tract 8036.07,min15,7.231310852,17031020302
Census Tract 8094,min15,7.257626742,17031020400
Census Tract 8095,min15,8.33493214,17031020500
Census Tract 8096,min15,4.583574613,17031020601
Census Tract 8097,min15,7.567463281,17031020602
Census Tract 8098,min15,4.328006148,17031020701
Census Tract 8099,min15,4.565217425,17031020702
Census Tract 8100,min15,5.505800884,17031020801
Census Tract 8255.01,min15,5.478432199,17031020802
Census Tract 7201,min15,5.80050472,17031020901
Census Tract 8244,min15,6.080525033,17031020902
Census Tract 7202,min15,9.626945863,17031030101
Census Tract 7203,min15,8.961763204,17031030102
Census Tract 7204,min15,9.134163277,17031030103
Census Tract 7205,min15,8.961763204,17031030104
Census Tract 7206,min15,5.318065106,17031030200
Census Tract 7207,min15,6.013956279,17031030300
Census Tract 406,min15,5.262422364,17031030400
Census Tract 407,min15,9.433098762,17031030500
Census Tract 408,min15,9.422881243,17031030601
Census Tract 8169,min15,9.819709105,17031030603
Census Tract 8170,min15,9.635652849,17031030604
Census Tract 8171.01,min15,9.493745134,17031030701
Census Tract 8171.02,min15,9.583777759,17031030702
Census Tract 8258.01,min15,9.569267931,17031030703
Census Tract 8258.02,min15,9.583777759,17031030706
Census Tract 8258.03,min15,9.089108814,17031030800
Census Tract 8259,min15,9.129502921,17031030900
Census Tract 8260,min15,9.418450949,17031031000
Census Tract 3801,min15,9.062476691,17031031100
Census Tract 3802,min15,9.085765362,17031031200
Census Tract 4312,min15,9.240404618,17031031300
Census Tract 4314,min15,9.177219268,17031031400
Census Tract 8039.02,min15,8.762283211,17031031501
Census Tract 8040,min15,8.931882604,17031031502
Census Tract 8041.04,min15,10.01768324,17031031700
Census Tract 8101,min15,10.06243804,17031031800
Census Tract 8102,min15,11.13261589,17031031900
Census Tract 8103.01,min15,9.131485308,17031032100
Census Tract 501,min15,5.229881439,17031040100
Census Tract 6108,min15,5.696398236,17031040201
Census Tract 6110,min15,5.622097064,17031040202
Census Tract 6111,min15,5.069755443,17031040300
Census Tract 6113,min15,5.841461886,17031040401
Census Tract 6114,min15,5.108427214,17031040402
Census Tract 6115,min15,5.941353447,17031040600
Census Tract 6119,min15,5.932357016,17031040700
Census Tract 6812,min15,6.778351198,17031040800
Census Tract 8103.02,min15,6.279897967,17031040900
Census Tract 8104,min15,9.858454079,17031050100
Census Tract 8107.01,min15,10.87739552,17031050200
Census Tract 8107.02,min15,14.34494139,17031050300
Census Tract 8106,min15,13.69198032,17031050500
Census Tract 8172,min15,10.88288215,17031050600
Census Tract 8174,min15,13.42736722,17031050700
Census Tract 8176,min15,13.78134498,17031050800
Census Tract 6912,min15,13.8454146,17031050900
Census Tract 6911,min15,14.63680992,17031051000
Census Tract 7301,min15,13.69237277,17031051100
Census Tract 7303,min15,13.60017413,17031051200
Census Tract 7304,min15,13.65611014,17031051300
Census Tract 8177,min15,13.65019102,17031051400
Census Tract 8181,min15,10.49030539,17031060100
Census Tract 8261,min15,11.14125367,17031060200
Census Tract 8263.01,min15,13.47790339,17031060300
Census Tract 8263.03,min15,13.33225531,17031060400
Census Tract 8263.04,min15,10.3164844,17031060500
Census Tract 7305,min15,9.140030563,17031060800
Census Tract 7306,min15,9.222650199,17031060900
Census Tract 8028.01,min15,9.219330585,17031061000
Census Tract 3805,min15,10.1164336,17031061100
Census Tract 3812,min15,13.04153262,17031061200
Census Tract 3814,min15,13.05668017,17031061500
Census Tract 4403,min15,9.238138371,17031061800
Census Tract 8047.06,min15,9.979946866,17031061901
Census Tract 8047.10,min15,13.01104083,17031061902
Census Tract 8108,min15,9.029190202,17031062000
Census Tract 8109,min15,10.02057655,17031062100
Census Tract 8110,min15,12.87414841,17031062200
Census Tract 6120,min15,13.06260688,17031062300
Census Tract 6121,min15,13.34859905,17031062400
Census Tract 6201,min15,13.74496191,17031062500
Census Tract 6202,min15,14.13368488,17031062600
Census Tract 6203,min15,14.13415155,17031062700
Census Tract 6204,min15,13.10021451,17031062800
Census Tract 6301,min15,13.01123013,17031062900
Census Tract 8105.01,min15,12.85810132,17031063000
Census Tract 8105.02,min15,9.878328789,17031063100
Census Tract 8122,min15,13.01688455,17031063200
Census Tract 8182,min15,12.64545407,17031063301
Census Tract 8184.02,min15,9.93088294,17031063302
Census Tract 8188,min15,12.61327764,17031063303
Census Tract 8189,min15,12.8426853,17031063400
Census Tract 8264.02,min15,9.294333548,17031070101
Census Tract 8266,min15,9.829805555,17031070102
Census Tract 8267,min15,12.43211068,17031070103
Census Tract 8269.01,min15,12.37538834,17031070200
Census Tract 8269.02,min15,12.85670644,17031070300
Census Tract 7307,min15,13.4074795,17031070400
Census Tract 7401,min15,13.98825994,17031070500
Census Tract 7402,min15,14.37783916,17031070600
Census Tract 7403,min15,14.36669845,17031070700
Census Tract 7404,min15,14.17316376,17031071000
Census Tract 8030.05,min15,13.93570985,17031071100
Census Tract 8030.07,min15,13.22298208,17031071200
Census Tract 3818,min15,12.89239612,17031071300
Census Tract 3819,min15,12.80566283,17031071400
Census Tract 3901,min15,13.12010214,17031071500
Census Tract 3902,min15,13.13491446,17031071600
Census Tract 3903,min15,13.4626827,17031071700
Census Tract 3904,min15,13.45974208,17031071800
Census Tract 3905,min15,13.17401928,17031080100
Census Tract 3906,min15,13.41144406,17031080201
Census Tract 3907,min15,13.18432301,17031080202
Census Tract 8047.11,min15,13.30410671,17031080300
Census Tract 8048.06,min15,13.26090058,17031080400
Census Tract 8048.08,min15,13.47357077,17031081000
Census Tract 8048.09,min15,13.28492168,17031081100
Census Tract 8124,min15,13.29303112,17031081201
Census Tract 8125,min15,13.25807429,17031081202
Census Tract 4406,min15,13.29398262,17031081300
Census Tract 4409,min15,13.48782766,17031081401
Census Tract 4407,min15,13.52183705,17031081402
Census Tract 4408,min15,13.67430898,17031081403
Census Tract 8193,min15,13.84962221,17031081500
Census Tract 8194,min15,13.88683258,17031081600
Census Tract 8195,min15,14.0140279,17031081700
Census Tract 6309,min15,14.09284452,17031081800
Census Tract 6303,min15,13.69537407,17031081900
Census Tract 6305,min15,7.373496922,17031090100
Census Tract 6308,min15,7.462092177,17031090200
Census Tract 6401,min15,6.965507652,17031090300
Census Tract 6403,min15,4.167711363,17031100100
Census Tract 8196,min15,7.214790419,17031100200
Census Tract 8270,min15,8.236788464,17031100300
Census Tract 8271,min15,4.120395706,17031100400
Census Tract 3817,min15,4.259660075,17031100500
Census Tract 8272,min15,5.087492231,17031100600
Census Tract 8273,min15,3.298624738,17031100700
Census Tract 7501,min15,4.536547312,17031110100
Census Tract 7502,min15,5.387033048,17031110200
Census Tract 7503,min15,5.113987243,17031110300
Census Tract 7504,min15,5.245175309,17031110400
Census Tract 7505,min15,5.897325386,17031110501
Census Tract 8049.01,min15,4.878847822,17031110502
Census Tract 8049.02,min15,8.296886236,17031120100
Census Tract 8050.01,min15,7.383098978,17031120200
Census Tract 8050.02,min15,8.548283044,17031120300
Census Tract 1001,min15,14.70986278,17031120400
Census Tract 1003,min15,5.915621311,17031130100
Census Tract 1401,min15,2.458569851,17031130200
Census Tract 1402,min15,4.078043107,17031130300
Census Tract 1404,min15,4.461875004,17031140100
Census Tract 1405,min15,5.929159118,17031140200
Census Tract 8008,min15,5.994094342,17031140301
Census Tract 2427,min15,4.960491034,17031140302
Census Tract 702,min15,5.838744365,17031140400
Census Tract 703,min15,11.48522379,17031140500
Census Tract 704,min15,11.79267596,17031140601
Census Tract 705,min15,7.702969206,17031140602
Census Tract 706,min15,6.952890914,17031140701
Census Tract 707,min15,12.00623923,17031140702
Census Tract 1004,min15,6.810773178,17031140800
Census Tract 1006,min15,8.559590342,17031150200
Census Tract 1007,min15,5.648491694,17031150300
Census Tract 1102,min15,4.114059346,17031150401
Census Tract 1502,min15,3.547065998,17031150402
Census Tract 1503,min15,3.415901086,17031150501
Census Tract 1408,min15,2.954064495,17031150502
Census Tract 2312,min15,3.436136587,17031150600
Census Tract 2311,min15,4.117852227,17031150700
Census Tract 2424,min15,5.422715733,17031150800
Census Tract 2425,min15,3.894812317,17031151001
Census Tract 1202,min15,5.95688375,17031151002
Census Tract 1203,min15,3.098080685,17031151100
Census Tract 1204,min15,3.002575386,17031151200
Census Tract 2315,min15,15.3963171,17031160100
Census Tract 711,min15,16.63540933,17031160200
Census Tract 710,min15,16.14325754,17031160300
Census Tract 712,min15,14.95576862,17031160400
Census Tract 713,min15,15.093881,17031160501
Census Tract 1103,min15,15.14932298,17031160502
Census Tract 2203,min15,8.089494111,17031160601
Census Tract 2204,min15,15.02489927,17031160602
Census Tract 2205,min15,14.88990004,17031160700
Census Tract 2403,min15,15.4112069,17031160800
Census Tract 2405,min15,15.13034973,17031160900
Census Tract 604,min15,16.21915646,17031161000
Census Tract 605,min15,16.17361005,17031161100
Census Tract 2408,min15,6.134862964,17031161200
Census Tract 2406,min15,14.92772364,17031161300
Census Tract 2407,min15,2.513424663,17031170100
Census Tract 2409,min15,3.083231661,17031170200
Census Tract 2426,min15,3.995438312,17031170300
Census Tract 8031,min15,3.989863584,17031170400
Census Tract 3106,min15,3.058182178,17031170500
Census Tract 3107,min15,3.455627461,17031170600
Census Tract 3108,min15,3.709934336,17031170700
Census Tract 206.02,min15,3.893053453,17031170800
Census Tract 3109,min15,4.274157718,17031170900
Census Tract 5101,min15,4.131788352,17031171000
Census Tract 5102,min15,2.820287931,17031171100
Census Tract 5611,min15,3.917643622,17031180100
Census Tract 1907.01,min15,4.58082708,17031190100
Census Tract 209.01,min15,3.762996238,17031190200
Census Tract 102.02,min15,2.172525193,17031190300
Census Tract 5701,min15,2.114066906,17031190401
Census Tract 5702,min15,2.049269837,17031190402
Census Tract 5703,min15,3.070165396,17031190601
Census Tract 5704,min15,3.044410263,17031190602
Census Tract 5705,min15,2.46791589,17031190701
Census Tract 6904,min15,2.45941289,17031190702
Census Tract 6913,min15,2.741453318,17031190800
Census Tract 6914,min15,3.025887127,17031190900
Census Tract 6915,min15,4.078245726,17031191000
Census Tract 3201,min15,2.933382041,17031191100
Census Tract 7105,min15,2.667298043,17031191200
Census Tract 3204,min15,3.503042657,17031191301
Census Tract 5801,min15,3.410351537,17031191302
Census Tract 5802,min15,5.132170117,17031200100
Census Tract 5803,min15,4.368923759,17031200200
Census Tract 5804,min15,3.577620816,17031200300
Census Tract 5806,min15,3.935312769,17031200401
Census Tract 5807,min15,3.753996742,17031200402
Census Tract 6813,min15,15.82208762,17031210100
Census Tract 6814,min15,14.1223549,17031210400
Census Tract 6903,min15,14.60808963,17031210501
Census Tract 6905,min15,13.96373798,17031210502
Census Tract 6909,min15,16.05601666,17031210601
Census Tract 6910,min15,15.3282052,17031210602
Census Tract 7001,min15,15.88965432,17031210700
Census Tract 7002,min15,15.87059319,17031210800
Census Tract 3206,min15,15.83234561,17031210900
Census Tract 3301,min15,15.66726602,17031220300
Census Tract 3302,min15,15.63512691,17031220400
Census Tract 5905,min15,15.29328065,17031220500
Census Tract 5906,min15,14.33245679,17031220601
Census Tract 6712,min15,14.77200196,17031220602
Census Tract 6711,min15,12.96909767,17031220701
Census Tract 6713,min15,13.86593316,17031220702
Census Tract 6715,min15,5.158996629,17031220901
Census Tract 6716,min15,9.737700069,17031220902
Census Tract 6718,min15,12.97952267,17031221000
Census Tract 6719,min15,13.77018215,17031221100
Census Tract 7101,min15,13.54653503,17031221200
Census Tract 7102,min15,14.6463975,17031221300
Census Tract 7104,min15,13.5370449,17031221400
Census Tract 4303,min15,15.50978048,17031221500
Census Tract 7106,min15,15.36893864,17031221600
Census Tract 7108,min15,14.5657742,17031222200
Census Tract 3403,min15,13.78882797,17031222500
Census Tract 3405,min15,13.94054207,17031222600
Census Tract 3406,min15,13.54404784,17031222700
Census Tract 4302,min15,12.57743868,17031222800
Census Tract 5103,min15,12.39009427,17031222900
Census Tract 5201,min15,13.7423662,17031230100
Census Tract 5907,min15,13.57909385,17031230200
Census Tract 6004,min15,13.08018008,17031230300
Census Tract 8241.15,min15,12.70173345,17031230400
Census Tract 8253.03,min15,8.373996043,17031230500
Census Tract 8300.07,min15,7.489962492,17031230600
Census Tract 8138.01,min15,13.11255994,17031230700
Census Tract 8306,min15,13.05336176,17031230800
Census Tract 8308,min15,13.48608937,17031230900
Census Tract 8307,min15,8.420255818,17031231100
Census Tract 8309,min15,8.727054383,17031231200
Census Tract 8352,min15,11.80844724,17031231500
Census Tract 8399,min15,14.70134001,17031240200
Census Tract 8397,min15,14.53160479,17031240300
Census Tract 8398,min15,14.20747387,17031240500
Census Tract 8348,min15,14.40889802,17031240600
Census Tract 8347,min15,14.12360294,17031240700
Census Tract 8320,min15,14.36938787,17031240800
Census Tract 8325,min15,12.53416876,17031240900
Census Tract 8323,min15,14.31263052,17031241000
Census Tract 8383,min15,14.25567632,17031241100
Census Tract 8318,min15,14.50889165,17031241200
Census Tract 8317,min15,13.78752744,17031241300
Census Tract 8351,min15,13.57598094,17031241400
Census Tract 8350,min15,14.67443601,17031241500
Census Tract 8437,min15,14.75836593,17031241600
Census Tract 2207.02,min15,14.47940483,17031242000
Census Tract 8421,min15,13.74360647,17031242100
Census Tract 8433,min15,13.2054798,17031242200
Census Tract 8241.23,min15,13.06028439,17031242300
Census Tract 8044.05,min15,13.70689852,17031242400
Census Tract 8311,min15,14.17821817,17031242500
Census Tract 8315,min15,12.74060813,17031242600
Census Tract 8316,min15,12.85603728,17031242700
Census Tract 8312,min15,13.91573127,17031242800
Census Tract 8310,min15,14.02874415,17031242900
Census Tract 8430,min15,13.53229652,17031243000
Census Tract 8431,min15,13.579089,17031243100
Census Tract 8429,min15,13.77717017,17031243200
Census Tract 8435,min15,14.11709977,17031243300
Census Tract 8420,min15,14.81380027,17031243400
Census Tract 8080.02,min15,13.60133201,17031243500
Census Tract 301.01,min15,7.534747173,17031250200
Census Tract 307.01,min15,3.649728456,17031250300
Census Tract 701.03,min15,4.010629618,17031250400
Census Tract 8071,min15,3.441648387,17031250500
Census Tract 8072,min15,4.714649172,17031250600
Census Tract 8073,min15,4.51440315,17031250700
Census Tract 8074,min15,7.634562773,17031250800
Census Tract 8075,min15,12.11202927,17031251000
Census Tract 8077,min15,7.784100633,17031251100
Census Tract 8079,min15,8.225799194,17031251200
