variable,group,value,id
Census Tract 4407,15min,13.52183705,17031081402
Census Tract 4408,15min,13.67430898,17031081403
Census Tract 8193,15min,13.84962221,17031081500
Census Tract 8194,15min,13.88683258,17031081600
Census Tract 8195,15min,14.0140279,17031081700
Census Tract 6309,15min,14.09284452,17031081800
Census Tract 6303,15min,13.69537407,17031081900
Census Tract 6305,15min,7.373496922,17031090100
Census Tract 6308,15min,7.462092177,17031090200
Census Tract 6401,15min,6.965507652,17031090300
Census Tract 6403,15min,4.167711363,17031100100
Census Tract 8196,15min,7.214790419,17031100200
Census Tract 8270,15min,8.236788464,17031100300
Census Tract 8271,15min,4.120395706,17031100400
Census Tract 3817,15min,4.259660075,17031100500
Census Tract 8272,15min,5.087492231,17031100600
Census Tract 8273,15min,3.298624738,17031100700
Census Tract 7501,15min,4.536547312,17031110100
Census Tract 7502,15min,5.387033048,17031110200
Census Tract 7503,15min,5.113987243,17031110300
Census Tract 7504,15min,5.245175309,17031110400
Census Tract 7505,15min,5.897325386,17031110501
Census Tract 8049.01,15min,4.878847822,17031110502
Census Tract 8049.02,15min,8.296886236,17031120100
Census Tract 8050.01,15min,7.383098978,17031120200
Census Tract 8050.02,15min,8.548283044,17031120300
Census Tract 1001,15min,14.70986278,17031120400
Census Tract 1003,15min,5.915621311,17031130100
Census Tract 1401,15min,2.458569851,17031130200
Census Tract 1402,15min,4.078043107,17031130300
Census Tract 1404,15min,4.461875004,17031140100
Census Tract 1405,15min,5.929159118,17031140200
Census Tract 8008,15min,5.994094342,17031140301
Census Tract 2427,15min,4.960491034,17031140302
Census Tract 702,15min,5.838744365,17031140400
Census Tract 703,15min,11.48522379,17031140500
Census Tract 704,15min,11.79267596,17031140601
Census Tract 705,15min,7.702969206,17031140602
Census Tract 706,15min,6.952890914,17031140701
Census Tract 707,15min,12.00623923,17031140702
Census Tract 1004,15min,6.810773178,17031140800
Census Tract 1006,15min,8.559590342,17031150200
Census Tract 1007,15min,5.648491694,17031150300
Census Tract 1102,15min,4.114059346,17031150401
Census Tract 1502,15min,3.547065998,17031150402
Census Tract 1503,15min,3.415901086,17031150501
Census Tract 1408,15min,2.954064495,17031150502
Census Tract 2312,15min,3.436136587,17031150600
Census Tract 2311,15min,4.117852227,17031150700
Census Tract 2424,15min,5.422715733,17031150800
Census Tract 2425,15min,3.894812317,17031151001
Census Tract 1202,15min,5.95688375,17031151002
Census Tract 1203,15min,3.098080685,17031151100
Census Tract 1204,15min,3.002575386,17031151200
Census Tract 2315,15min,15.3963171,17031160100
Census Tract 711,15min,16.63540933,17031160200
Census Tract 710,15min,16.14325754,17031160300
Census Tract 712,15min,14.95576862,17031160400
Census Tract 713,15min,15.093881,17031160501
Census Tract 1103,15min,15.14932298,17031160502
Census Tract 2203,15min,8.089494111,17031160601
Census Tract 2204,15min,15.02489927,17031160602
Census Tract 2205,15min,14.88990004,17031160700
Census Tract 2403,15min,15.4112069,17031160800
Census Tract 2405,15min,15.13034973,17031160900
Census Tract 604,15min,16.21915646,17031161000
Census Tract 605,15min,16.17361005,17031161100
Census Tract 2408,15min,6.134862964,17031161200
Census Tract 2406,15min,14.92772364,17031161300
Census Tract 2407,15min,2.513424663,17031170100
Census Tract 2409,15min,3.083231661,17031170200
Census Tract 2426,15min,3.995438312,17031170300
Census Tract 8031,15min,3.989863584,17031170400
Census Tract 3106,15min,3.058182178,17031170500
Census Tract 3107,15min,3.455627461,17031170600
Census Tract 3108,15min,3.709934336,17031170700
Census Tract 206.02,15min,3.893053453,17031170800
Census Tract 3109,15min,4.274157718,17031170900
Census Tract 5101,15min,4.131788352,17031171000
Census Tract 5102,15min,2.820287931,17031171100
Census Tract 5611,15min,3.917643622,17031180100
Census Tract 1907.01,15min,4.58082708,17031190100
Census Tract 209.01,15min,3.762996238,17031190200
Census Tract 102.02,15min,2.172525193,17031190300
Census Tract 5701,15min,2.114066906,17031190401
Census Tract 5702,15min,2.049269837,17031190402
Census Tract 5703,15min,3.070165396,17031190601
Census Tract 5704,15min,3.044410263,17031190602
Census Tract 5705,15min,2.46791589,17031190701
Census Tract 6904,15min,2.45941289,17031190702
Census Tract 6913,15min,2.741453318,17031190800
Census Tract 6914,15min,3.025887127,17031190900
Census Tract 6915,15min,4.078245726,17031191000
Census Tract 3201,15min,2.933382041,17031191100
Census Tract 7105,15min,2.667298043,17031191200
Census Tract 3204,15min,3.503042657,17031191301
Census Tract 5801,15min,3.410351537,17031191302
Census Tract 5802,15min,5.132170117,17031200100
Census Tract 5803,15min,4.368923759,17031200200
Census Tract 5804,15min,3.577620816,17031200300
Census Tract 5806,15min,3.935312769,17031200401
Census Tract 5807,15min,3.753996742,17031200402
Census Tract 6813,15min,15.82208762,17031210100
Census Tract 6814,15min,14.1223549,17031210400
Census Tract 6903,15min,14.60808963,17031210501
Census Tract 6905,15min,13.96373798,17031210502
Census Tract 6909,15min,16.05601666,17031210601
Census Tract 6910,15min,15.3282052,17031210602
Census Tract 7001,15min,15.88965432,17031210700
Census Tract 7002,15min,15.87059319,17031210800
Census Tract 3206,15min,15.83234561,17031210900
Census Tract 3301,15min,15.66726602,17031220300
Census Tract 3302,15min,15.63512691,17031220400
Census Tract 5905,15min,15.29328065,17031220500
Census Tract 5906,15min,14.33245679,17031220601
Census Tract 6712,15min,14.77200196,17031220602
Census Tract 6711,15min,12.96909767,17031220701
Census Tract 6713,15min,13.86593316,17031220702
Census Tract 6715,15min,5.158996629,17031220901
Census Tract 6716,15min,9.737700069,17031220902
Census Tract 6718,15min,12.97952267,17031221000
Census Tract 6719,15min,13.77018215,17031221100
Census Tract 7101,15min,13.54653503,17031221200
Census Tract 7102,15min,14.6463975,17031221300
Census Tract 7104,15min,13.5370449,17031221400
Census Tract 4303,15min,15.50978048,17031221500
Census Tract 7106,15min,15.36893864,17031221600
Census Tract 7108,15min,14.5657742,17031222200
Census Tract 3403,15min,13.78882797,17031222500
Census Tract 3405,15min,13.94054207,17031222600
Census Tract 3406,15min,13.54404784,17031222700
Census Tract 4302,15min,12.57743868,17031222800
Census Tract 5103,15min,12.39009427,17031222900
Census Tract 5201,15min,13.7423662,17031230100
Census Tract 5907,15min,13.57909385,17031230200
Census Tract 6004,15min,13.08018008,17031230300
Census Tract 8241.15,15min,12.70173345,17031230400
Census Tract 8253.03,15min,8.373996043,17031230500
Census Tract 8300.07,15min,7.489962492,17031230600
Census Tract 8138.01,15min,13.11255994,17031230700
Census Tract 8306,15min,13.05336176,17031230800
Census Tract 8308,15min,13.48608937,17031230900
Census Tract 8307,15min,8.420255818,17031231100
Census Tract 8309,15min,8.727054383,17031231200
Census Tract 8352,15min,11.80844724,17031231500
Census Tract 8399,15min,14.70134001,17031240200
Census Tract 8397,15min,14.53160479,17031240300
Census Tract 8398,15min,14.20747387,17031240500
Census Tract 8348,15min,14.40889802,17031240600
Census Tract 8347,15min,14.12360294,17031240700
Census Tract 8320,15min,14.36938787,17031240800
Census Tract 8325,15min,12.53416876,17031240900
Census Tract 8323,15min,14.31263052,17031241000
Census Tract 8383,15min,14.25567632,17031241100
Census Tract 8318,15min,14.50889165,17031241200
Census Tract 8317,15min,13.78752744,17031241300
Census Tract 8351,15min,13.57598094,17031241400
Census Tract 8350,15min,14.67443601,17031241500
Census Tract 8437,15min,14.75836593,17031241600
Census Tract 2207.02,15min,14.47940483,17031242000
Census Tract 8421,15min,13.74360647,17031242100
Census Tract 8433,15min,13.2054798,17031242200
Census Tract 8241.23,15min,13.06028439,17031242300
Census Tract 8044.05,15min,13.70689852,17031242400
Census Tract 8311,15min,14.17821817,17031242500
Census Tract 8315,15min,12.74060813,17031242600
Census Tract 8316,15min,12.85603728,17031242700
Census Tract 8312,15min,13.91573127,17031242800
Census Tract 8310,15min,14.02874415,17031242900
Census Tract 8430,15min,13.53229652,17031243000
Census Tract 8431,15min,13.579089,17031243100
Census Tract 8429,15min,13.77717017,17031243200
Census Tract 8435,15min,14.11709977,17031243300
Census Tract 8420,15min,14.81380027,17031243400
Census Tract 8080.02,15min,13.60133201,17031243500
Census Tract 301.01,15min,7.534747173,17031250200
Census Tract 307.01,15min,3.649728456,17031250300
Census Tract 701.03,15min,4.010629618,17031250400
Census Tract 8071,15min,3.441648387,17031250500
Census Tract 8072,15min,4.714649172,17031250600
Census Tract 8073,15min,4.51440315,17031250700
Census Tract 8074,15min,7.634562773,17031250800
Census Tract 8075,15min,12.11202927,17031251000
Census Tract 8077,15min,7.784100633,17031251100
Census Tract 8079,15min,8.225799194,17031251200
Census Tract 8080.01,15min,11.13866963,17031251300
Census Tract 8043.11,15min,11.32750022,17031251400
Census Tract 8083.01,15min,10.97787237,17031251500
Census Tract 8083.02,15min,11.44172242,17031251600
Census Tract 8086,15min,12.38250477,17031251700
Census Tract 8087.02,15min,15.91169165,17031251800
Census Tract 7702.02,15min,12.01300695,17031251900
Census Tract 7706.02,15min,12.75387553,17031252000
Census Tract 8061.04,15min,12.87634861,17031252101
Census Tract 8025.06,15min,16.96451331,17031252102
Census Tract 8025.05,15min,16.72503029,17031252201
Census Tract 8024.04,15min,17.74078467,17031252202
Census Tract 8030.17,15min,15.98536882,17031260100
Census Tract 8047.14,15min,11.67779806,17031260200
Census Tract 8043.10,15min,15.59210305,17031260300
Census Tract 8044.03,15min,15.6507069,17031260400
Census Tract 8206.06,15min,17.62487512,17031260500
Census Tract 8044.06,15min,16.59459609,17031260600
Census Tract 8047.16,15min,16.47412981,17031260700
Census Tract 8062.01,15min,16.62461184,17031260800
Census Tract 8206.04,15min,16.40612733,17031260900
Census Tract 8241.16,15min,17.45731674,17031261000
Census Tract 8240.05,15min,17.62597181,17031270500
Census Tract 8241.14,15min,16.68471785,17031271200
Census Tract 8238.06,15min,16.72140707,17031271300
Census Tract 8240.03,15min,16.38586544,17031271400
Census Tract 8241.22,15min,16.7324013,17031271500
Census Tract 8241.17,15min,16.54235551,17031271800
Census Tract 8319,15min,18.71458981,17031280100
Census Tract 8045.06,15min,14.36256225,17031280400
Census Tract 8241.19,15min,17.83280797,17031280800
Census Tract 8241.20,15min,13.58416708,17031280900
Census Tract 8395,15min,18.63262859,17031281900
Census Tract 8326,15min,12.96349775,17031282700
Census Tract 8369,15min,17.28324454,17031282800
Census Tract 8412,15min,13.85026056,17031283100
Census Tract 8419,15min,13.22021264,17031283200
Census Tract 8358,15min,12.28174404,17031283800
Census Tract 8388,15min,16.77869945,17031290900
Census Tract 8423,15min,12.04150565,17031291200
Census Tract 8155,15min,11.45225296,17031291600
Census Tract 8432,15min,12.43689211,17031292200
Census Tract 8434,15min,8.789391549,17031292400
Census Tract 8426,15min,8.759835892,17031292500
Census Tract 8032,15min,8.678284603,17031300500
Census Tract 8033,15min,8.474295529,17031300600
Census Tract 8089,15min,8.161657809,17031300700
Census Tract 8090,15min,7.725043914,17031300800
Census Tract 3018.03,15min,7.414556969,17031300900
Census Tract 8091,15min,7.327794407,17031301100
Census Tract 8092,15min,11.36228537,17031301200
Census Tract 8093,15min,7.308615118,17031301600
Census Tract 2210,15min,7.473360405,17031301701
Census Tract 2211,15min,7.320688728,17031301702
Census Tract 2428,15min,8.083222305,17031301801
Census Tract 2429,15min,8.562390413,17031301802
Census Tract 2430,15min,7.855051695,17031301803
Census Tract 2431,15min,18.80127093,17031310200
Census Tract 2432,15min,16.8551744,17031310300
Census Tract 2433,15min,16.27162387,17031310400
Census Tract 2434,15min,15.57274359,17031310500
Census Tract 714,15min,15.12543561,17031310600
Census Tract 1104,15min,11.77387579,17031310700
Census Tract 1506,15min,11.81205744,17031310800
Census Tract 1507,15min,11.35303072,17031310900
Census Tract 1508,15min,12.71786031,17031320100
Census Tract 1511,15min,14.7274385,17031320400
Census Tract 1512,15min,17.80548673,17031320600
Census Tract 2415,15min,16.89156419,17031330100
Census Tract 2411,15min,16.20825116,17031330200
Census Tract 2416,15min,15.99143889,17031340300
Census Tract 2413,15min,17.41475737,17031340400
Census Tract 2414,15min,16.11636034,17031340500
Census Tract 2435,15min,16.04403757,17031340600
Census Tract 2502,15min,14.69311369,17031350100
Census Tract 2503,15min,14.728615,17031350400
Census Tract 2504,15min,13.60702963,17031351000
Census Tract 2505,15min,14.4426524,17031351100
Census Tract 715,15min,15.73914979,17031351400
Census Tract 718,15min,16.5389346,17031351500
Census Tract 801,15min,13.53187166,17031360200
Census Tract 803,15min,13.93248492,17031380100
Census Tract 804,15min,14.07111871,17031380200
Census Tract 1601,15min,15.74786318,17031380500
Census Tract 1602,15min,15.53716303,17031380700
Census Tract 1603,15min,14.64567732,17031381200
Census Tract 1604,15min,15.38086706,17031381400
Census Tract 1607,15min,15.38086706,17031381500
Census Tract 2213,15min,14.74958611,17031381800
Census Tract 2215,15min,9.994889246,17031381900
Census Tract 2214,15min,13.46736153,17031390100
Census Tract 2506,15min,13.37776162,17031390200
Census Tract 2507,15min,13.34763288,17031390300
Census Tract 2508,15min,9.758954011,17031390400
Census Tract 2510,15min,13.31819874,17031390500
Census Tract 2511,15min,10.54538945,17031390600
Census Tract 514,15min,10.73159509,17031390700
Census Tract 601,15min,15.41044047,17031400300
Census Tract 603,15min,10.84431935,17031400400
Census Tract 608,15min,14.84400462,17031400500
Census Tract 1608,15min,10.98481789,17031400800
Census Tract 1609,15min,10.27989859,17031410100
Census Tract 1610,15min,5.927611042,17031410200
Census Tract 1611,15min,5.521646171,17031410500
Census Tract 1612,15min,5.873670859,17031410600
Census Tract 1613,15min,5.884025327,17031410700
Census Tract 1701,15min,6.344593621,17031410800
Census Tract 2216,15min,10.31325671,17031410900
Census Tract 2421,15min,10.21990353,17031411000
Census Tract 2420,15min,6.37257428,17031411100
Census Tract 2512,15min,5.902370534,17031411200
Census Tract 2513,15min,5.915622893,17031420100
Census Tract 513,15min,5.955936871,17031420200
Census Tract 6007,15min,5.995358789,17031420300
Census Tract 6009,15min,6.121109254,17031420400
Census Tract 8212,15min,6.211450237,17031420500
Census Tract 6720,15min,7.527960973,17031420600
Census Tract 7109,15min,6.199978556,17031420700
Census Tract 7110,15min,6.058256444,17031420800
Census Tract 7111,15min,7.712898785,17031421200
Census Tract 7112,15min,5.835734197,17031430101
Census Tract 7115,15min,5.743296766,17031430102
Census Tract 7113,15min,5.802254015,17031430200
Census Tract 7114,15min,5.814940349,17031430300
Census Tract 2705,15min,6.222468842,17031430400
Census Tract 2712,15min,5.816390446,17031430500
Census Tract 2713,15min,5.763538747,17031430600
Census Tract 2714,15min,5.729544618,17031430700
Census Tract 3501,15min,5.506853336,17031430800
Census Tract 3504,15min,5.649518276,17031430900
Census Tract 3510,15min,5.616663371,17031431200
Census Tract 3514,15min,5.351706696,17031431301
Census Tract 3602,15min,5.50353195,17031431302
Census Tract 8139,15min,5.39997898,17031431400
Census Tract 8226.01,15min,6.446235369,17031440101
Census Tract 8227.01,15min,5.747562359,17031440102
Census Tract 8227.02,15min,6.630376354,17031440201
Census Tract 8228.01,15min,6.482844794,17031440202
Census Tract 8230.02,15min,7.949473285,17031440300
Census Tract 8140,15min,7.549369491,17031440600
Census Tract 8141,15min,7.372172098,17031440700
Census Tract 8142,15min,6.391314473,17031440800
Census Tract 8143,15min,6.98088789,17031440900
Census Tract 8144,15min,5.931414388,17031450300
Census Tract 8231.01,15min,5.260142995,17031460100
Census Tract 8233.02,15min,1.625648843,17031460200
Census Tract 8233.03,15min,5.501703674,17031460301
Census Tract 8235,15min,5.221220747,17031460302
Census Tract 8145,15min,5.658924402,17031460400
Census Tract 8146,15min,5.812666301,17031460500
Census Tract 8148,15min,5.70650678,17031460600
Census Tract 8149,15min,5.629226487,17031460700
Census Tract 8150,15min,5.709921235,17031461000
Census Tract 8151,15min,1.981322272,17031470100
Census Tract 8236.02,15min,5.937449196,17031480100
Census Tract 8236.04,15min,5.614059172,17031480200
Census Tract 8236.05,15min,5.7517719,17031480300
Census Tract 8237.02,15min,5.75209119,17031480400
Census Tract 1605.01,15min,5.863264671,17031480500
Census Tract 8152,15min,7.361196665,17031490300
Census Tract 8153,15min,7.137036584,17031490400
Census Tract 8154,15min,7.020167942,17031490500
Census Tract 8237.04,15min,10.05500737,17031490600
Census Tract 8237.05,15min,7.099882401,17031490700
Census Tract 8241.08,15min,6.784605675,17031490800
Census Tract 8158,15min,2.374447435,17031490901
Census Tract 8159,15min,2.967072956,17031490902
Census Tract 8160,15min,2.827903672,17031491000
Census Tract 8162,15min,2.97947652,17031491100
Census Tract 8245.07,15min,2.816847608,17031491200
Census Tract 8246.02,15min,2.286345215,17031491300
Census Tract 8247.01,15min,2.208389501,17031491400
Census Tract 8247.02,15min,1.853819623,17031500100
Census Tract 8252,15min,1.710018385,17031500200
Census Tract 401,15min,2.200320026,17031500300
Census Tract 403,15min,5.412808294,17031510100
Census Tract 8163,15min,5.506038354,17031510200
Census Tract 8164.01,15min,1.762296736,17031510300
Census Tract 8164.02,15min,1.544221042,17031520100
Census Tract 8166,15min,1.541730616,17031520200
Census Tract 8167,15min,1.644721857,17031520300
Census Tract 8255.03,15min,1.624140944,17031520400
Census Tract 8255.04,15min,1.291206079,17031520500
Census Tract 8255.05,15min,1.28818199,17031520600
Census Tract 8257,15min,2.11074567,17031530100
Census Tract 6603.01,15min,2.078347667,17031530200
Census Tract 2207.01,15min,2.95982072,17031530300
Census Tract 633.02,15min,2.154737083,17031530400
Census Tract 2522.01,15min,0.923296226,17031530501
Census Tract 6603.02,15min,1.567341363,17031530502
Census Tract 7302.02,15min,2.445709842,17031530503
Census Tract 8133.02,15min,1.617052078,17031530600
Census Tract 8137.02,15min,1.598893779,17031540101
Census Tract 8133.01,15min,1.860012806,17031540102
Census Tract 8024.03,15min,0.385462441,17031550100
Census Tract 8030.16,15min,1.022652411,17031550200
