group,variable,value
min15,17031381900,9.994889246
min15,17031390100,13.46736153
min15,17031390200,13.37776162
min15,17031390300,13.34763288
min15,17031390400,9.758954011
min15,17031390500,13.31819874
min15,17031390600,10.54538945
min15,17031390700,10.73159509
min15,17031400300,15.41044047
min15,17031400400,10.84431935
min15,17031400500,14.84400462
min15,17031400800,10.98481789
min15,17031410100,10.27989859
min15,17031410200,5.927611042
min15,17031410500,5.521646171
min15,17031410600,5.873670859
min15,17031410700,5.884025327
min15,17031410800,6.344593621
min15,17031410900,10.31325671
min15,17031411000,10.21990353
min15,17031411100,6.37257428
min15,17031411200,5.902370534
min15,17031420100,5.915622893
min15,17031420200,5.955936871
min15,17031420300,5.995358789
min15,17031420400,6.121109254
min15,17031420500,6.211450237
min15,17031420600,7.527960973
min15,17031420700,6.199978556
min15,17031420800,6.058256444
min15,17031421200,7.712898785
min15,17031430101,5.835734197
min15,17031430102,5.743296766
min15,17031430200,5.802254015
min15,17031430300,5.814940349
min15,17031430400,6.222468842
min15,17031430500,5.816390446
min15,17031430600,5.763538747
min15,17031430700,5.729544618
min15,17031430800,5.506853336
min15,17031430900,5.649518276
min15,17031431200,5.616663371
min15,17031431301,5.351706696
min15,17031431302,5.50353195
min15,17031431400,5.39997898
min15,17031440101,6.446235369
min15,17031440102,5.747562359
min15,17031440201,6.630376354
min15,17031440202,6.482844794
min15,17031440300,7.949473285
min15,17031440600,7.549369491
min15,17031440700,7.372172098
min15,17031440800,6.391314473
min15,17031440900,6.98088789
min15,17031450300,5.931414388
min15,17031460100,5.260142995
min15,17031460200,1.625648843
min15,17031460301,5.501703674
min15,17031460302,5.221220747
min15,17031460400,5.658924402
min15,17031460500,5.812666301
min15,17031460600,5.70650678
min15,17031460700,5.629226487
min15,17031461000,5.709921235
min15,17031470100,1.981322272
min15,17031480100,5.937449196
min15,17031480200,5.614059172
min15,17031480300,5.7517719
min15,17031480400,5.75209119
min15,17031480500,5.863264671
min15,17031490300,7.361196665
min15,17031490400,7.137036584
min15,17031490500,7.020167942
min15,17031490600,10.05500737
min15,17031490700,7.099882401
min15,17031490800,6.784605675
min15,17031490901,2.374447435
min15,17031490902,2.967072956
min15,17031491000,2.827903672
min15,17031491100,2.97947652
min15,17031491200,2.816847608
min15,17031491300,2.286345215
min15,17031491400,2.208389501
min15,17031500100,1.853819623
min15,17031500200,1.710018385
min15,17031500300,2.200320026
min15,17031510100,5.412808294
min15,17031510200,5.506038354
min15,17031510300,1.762296736
min15,17031520100,1.544221042
min15,17031520200,1.541730616
min15,17031520300,1.644721857
min15,17031520400,1.624140944
min15,17031520500,1.291206079
min15,17031520600,1.28818199
min15,17031530100,2.11074567
min15,17031530200,2.078347667
min15,17031530300,2.95982072
min15,17031530400,2.154737083
min15,17031530501,0.923296226
min15,17031530502,1.567341363
min15,17031530503,2.445709842
min15,17031530600,1.617052078
min15,17031540101,1.598893779
min15,17031540102,1.860012806
min15,17031550100,0.385462441
min15,17031550200,1.022652411
min15,17031560100,4.829275805
min15,17031560200,4.068971391
min15,17031560300,3.867900971
min15,17031560400,3.98451707
min15,17031560700,3.283933043
min15,17031560800,2.853199309
min15,17031560900,2.945871656
min15,17031561000,2.891858463
min15,17031561100,2.691720282
min15,17031570100,3.961278598
min15,17031570200,4.059242436
min15,17031570300,3.100383984
min15,17031570400,3.234690033
min15,17031570500,2.548512497
min15,17031580100,7.287927485
min15,17031580200,7.451838125
min15,17031580300,7.259328524
min15,17031580400,6.901595873
min15,17031580501,6.919575602
min15,17031580502,6.702547413
min15,17031580600,7.050558235
min15,17031580700,7.284723987
min15,17031580800,6.684592655
min15,17031590500,11.6537829
min15,17031590600,11.4480341
min15,17031590700,14.22549536
min15,17031600400,14.68686995
min15,17031600600,14.69370511
min15,17031600700,11.33804314
min15,17031600900,14.45996069
min15,17031610300,10.13642087
min15,17031610400,10.79705577
min15,17031610800,15.43020178
min15,17031611000,10.24645443
min15,17031611100,10.393851
min15,17031611200,10.73034545
min15,17031611300,10.72414553
min15,17031611400,10.05134616
min15,17031611500,10.02967652
min15,17031611600,5.8874022
min15,17031611700,6.031835092
min15,17031611800,9.92952982
min15,17031611900,9.834612577
min15,17031612000,10.88063151
min15,17031612100,10.85431525
min15,17031620100,2.263104198
min15,17031620200,1.963763002
min15,17031620300,1.92013121
min15,17031620400,1.913682889
min15,17031630100,10.16695947
min15,17031630200,6.363205649
min15,17031630300,2.086001494
min15,17031630400,2.065653254
min15,17031630500,5.976636556
min15,17031630800,1.675373031
min15,17031630900,1.858069267
min15,17031640100,4.740670396
min15,17031640300,2.180312855
min15,17031640400,2.252131494
min15,17031640500,2.597375954
min15,17031640600,1.576076959
min15,17031640700,4.481966614
min15,17031640800,4.938863144
min15,17031650100,1.996727443
min15,17031650200,4.099579588
min15,17031650301,4.182066063
min15,17031650302,4.148499913
min15,17031650400,5.133648957
min15,17031650500,3.840061367
min15,17031660301,2.473285726
min15,17031660302,1.696382946
min15,17031660400,1.713084528
min15,17031660500,4.652735869
min15,17031660600,2.404241077
min15,17031660700,2.707442532
min15,17031660800,2.438728318
min15,17031660900,4.66575578
min15,17031661000,4.830967284
min15,17031661100,5.323875713
min15,17031670100,7.574045842
min15,17031670200,7.126593998
min15,17031670300,6.280643701
min15,17031670400,6.028802414
min15,17031670500,5.684306726
min15,17031670600,5.819162877
min15,17031670700,5.866188398
min15,17031670800,6.221401475
min15,17031670900,6.643396827
min15,17031671100,6.764493003
min15,17031671200,6.415834935
min15,17031671300,6.02374162
min15,17031671400,5.958899108
min15,17031671500,6.386441452
min15,17031671600,6.58417388
min15,17031671800,6.480824781
min15,17031671900,6.509766648
min15,17031672000,2.608372828
min15,17031680500,10.82802056
min15,17031680600,6.750291657
min15,17031680900,10.97693246
min15,17031681000,6.733993427
min15,17031681100,7.494348104
min15,17031681200,7.85309057
min15,17031681300,6.739243484
min15,17031681400,6.814138608
min15,17031690300,11.19729222
min15,17031690400,11.18802611
min15,17031690500,10.87732855
min15,17031690900,7.916693137
min15,17031691000,8.984370301
min15,17031691100,8.028827219
min15,17031691200,7.952435978
min15,17031691300,7.628380923
min15,17031691400,6.655600363
min15,17031691500,6.258648443
min15,17031700100,5.46301474
min15,17031700200,5.469697755
min15,17031700301,5.723439537
min15,17031700302,6.001211635
min15,17031700401,5.330454862
min15,17031700402,5.698844655
min15,17031700501,5.367332305
min15,17031700502,5.338574863
min15,17031710100,7.561530116
min15,17031710200,6.746195967
min15,17031710300,9.00574348
min15,17031710400,5.151326206
min15,17031710500,5.316103458
min15,17031710600,9.095215337
min15,17031710700,8.87926798
min15,17031710800,7.716730473
min15,17031710900,7.923591054
min15,17031711000,5.705656115
min15,17031711100,5.124888848
min15,17031711200,5.026290931
min15,17031711300,4.981111322
min15,17031711400,5.781778762
min15,17031711500,9.634388771
min15,17031720100,5.656965634
min15,17031720200,6.225491143
min15,17031720300,6.402468699
min15,17031720400,5.658777301
min15,17031720500,5.402713747
min15,17031720600,5.499741675
min15,17031720700,5.103692746
min15,17031730100,5.643089466
min15,17031730201,5.729148012
min15,17031730202,5.331647354
min15,17031730300,5.761219338
min15,17031730400,5.844682885
min15,17031730500,9.460064014
min15,17031730600,5.805498597
min15,17031730700,5.142148426
min15,17031740100,5.314550017
min15,17031740200,5.662516022
min15,17031740300,5.517165032
min15,17031740400,5.50582938
min15,17031750100,2.850014495
min15,17031750200,6.360412015
min15,17031750300,5.230071108
min15,17031750400,5.10375071
min15,17031750500,5.943666247
min15,17031750600,3.629574502
min15,17031760801,7.63741753
min15,17031760802,2.64362535
min15,17031760803,6.988727975
min15,17031770201,5.942155912
min15,17031770202,8.336960185
min15,17031770300,5.26756256
min15,17031770400,8.920111586
min15,17031770500,10.6255042
min15,17031770601,6.92882237
min15,17031770602,7.904059523
min15,17031770700,9.898342227
min15,17031770800,0.436200983
min15,17031770901,3.012423374
min15,17031770902,7.488064073
min15,17031800100,4.874503847
min15,17031800200,6.017591448
min15,17031800300,13.18017632
min15,17031800400,6.741527006
min15,17031800500,10.31538849
min15,17031800600,8.993952785
min15,17031800700,9.28176886
min15,17031800800,14.63714752
min15,17031800900,15.96285721
min15,17031801000,9.036044747
min15,17031801100,9.117140463
min15,17031801200,8.69819944
min15,17031801300,8.494799504
min15,17031801400,11.39488072
min15,17031801500,11.35070921
min15,17031801601,7.456428264
min15,17031801603,12.91483948
min15,17031801605,9.304727632
min15,17031801606,12.0473818
min15,17031801607,13.27652695
min15,17031801608,13.12511548
min15,17031801701,9.829187879
min15,17031801702,9.892416497
min15,17031801800,13.64731698
min15,17031801901,13.88499201
min15,17031801902,10.72132953
min15,17031802002,12.51786318
min15,17031802003,9.858566779
min15,17031802004,10.81640414
min15,17031802100,12.16180483
min15,17031802200,14.26724702
min15,17031802300,9.056920384
min15,17031802402,5.166910678
min15,17031802403,2.710396622
min15,17031802404,2.03809043
min15,17031802503,2.39825877
min15,17031802504,4.108946087
min15,17031802505,6.948583175
min15,17031802506,6.155360132
min15,17031802605,5.848888955
min15,17031802607,7.525656019
min15,17031802608,7.128246661
min15,17031802609,7.613144923
min15,17031802610,7.664248741
min15,17031802701,5.795351805
min15,17031802702,9.968518591
min15,17031802801,7.561508657
min15,17031802802,9.908949096
min15,17031802900,8.132400743
min15,17031803005,2.958237847
min15,17031803007,2.706391766
min15,17031803008,4.362226369
min15,17031803010,3.015197468
min15,17031803012,3.396535402
min15,17031803013,3.029342726
min15,17031803014,6.68697098
min15,17031803015,4.281065581
min15,17031803016,4.049785491
min15,17031803017,4.246995036
min15,17031803100,8.244988432
min15,17031803200,8.472674578
min15,17031803300,8.096679169
min15,17031803400,7.037355449
min15,17031803500,6.984919095
min15,17031803603,2.40099486
min15,17031803604,2.449728725
min15,17031803605,3.58182333
min15,17031803606,4.077302605
min15,17031803607,4.330754194
min15,17031803608,1.924036159
min15,17031803610,1.971656649
min15,17031803611,2.439436212
min15,17031803612,3.302038582
min15,17031803701,2.513736023
min15,17031803702,3.28285222
min15,17031803800,11.14063737
min15,17031803901,6.197847729
min15,17031803902,10.82204967
min15,17031804000,10.47977979
min15,17031804102,2.412213607
min15,17031804104,1.738967358
min15,17031804105,1.077668553
min15,17031804106,10.59413848
min15,17031804108,10.41793727
min15,17031804109,10.76026389
min15,17031804201,3.311734121
min15,17031804202,3.128930937
min15,17031804305,9.404728151
min15,17031804306,1.557870181
min15,17031804308,10.11244357
min15,17031804309,1.534829136
min15,17031804310,1.368063263
min15,17031804311,3.406317984
min15,17031804403,1.676408523
min15,17031804404,1.927627544
min15,17031804405,2.42502508
min15,17031804406,2.314529368
min15,17031804505,1.215443867
min15,17031804506,1.080475066
min15,17031804507,0.860180545
min15,17031804508,1.759831625
min15,17031804509,1.549521191
min15,17031804510,1.578986265
min15,17031804511,2.132284079
min15,17031804603,11.0293533
min15,17031804606,6.722504894
min15,17031804607,5.893976018
min15,17031804608,6.376085789
min15,17031804609,9.377556462
min15,17031804610,6.439934284
min15,17031804611,5.704523595
min15,17031804701,12.20649028
min15,17031804705,12.04227607
min15,17031804706,11.7386819
min15,17031804709,10.48801884
min15,17031804710,2.265624398
min15,17031804711,11.48688999
min15,17031804712,10.05626176
min15,17031804713,11.14856534
min15,17031804714,10.9961984
min15,17031804715,12.22344446
min15,17031804716,10.2018709
min15,17031804803,6.439006115
min15,17031804804,5.207985338
min15,17031804805,9.8425481
min15,17031804806,1.807044233
min15,17031804807,2.75385443
min15,17031804808,2.681054948
min15,17031804809,4.63517885
min15,17031804810,5.986168332
min15,17031804901,7.525919132
min15,17031804902,7.299535374
min15,17031805001,6.495758093
min15,17031805002,7.03071083
min15,17031805105,11.72065459
min15,17031805106,10.45977769
min15,17031805107,11.06512827
min15,17031805108,10.04681129
min15,17031805109,9.87859144
min15,17031805110,7.023109291
min15,17031805111,7.198489574
min15,17031805112,6.690355448
min15,17031805201,10.56159005
min15,17031805202,14.40201913
min15,17031805301,10.77130305
min15,17031805302,15.1906772
min15,17031805401,8.582392006
min15,17031805402,8.273979807
min15,17031805501,7.384751504
min15,17031805502,7.158577284
min15,17031805600,6.869458648
min15,17031805701,7.810812331
min15,17031805702,7.512257618
min15,17031805801,7.203148084
min15,17031805802,7.347351727
min15,17031805901,13.26175063
min15,17031805902,7.281381917
min15,17031806001,11.12600792
min15,17031806002,9.990651842
min15,17031806003,9.154270765
min15,17031806004,11.33778067
min15,17031806102,3.808315789
min15,17031806103,13.05896
min15,17031806104,10.24210652
min15,17031806201,10.3288149
min15,17031806202,7.714160116
min15,17031806300,7.860908997
min15,17031806400,6.967128473
min15,17031806501,8.200428467
min15,17031806502,7.422759573
min15,17031806600,7.548991469
min15,17031806700,9.401831619
min15,17031806801,10.65226527
min15,17031806802,10.14122394
min15,17031806900,11.18594756
min15,17031807000,14.09242723
min15,17031807100,9.047416836
min15,17031807200,9.589946074
min15,17031807300,8.324470034
min15,17031807400,7.459275565
min15,17031807500,9.930058673
min15,17031807600,9.69049657
min15,17031807700,8.025709609
min15,17031807800,7.887728143
min15,17031807900,8.581284825
min15,17031808001,8.105442702
min15,17031808002,8.006808051
min15,17031808100,8.734608988
min15,17031808200,10.19991286
min15,17031808301,9.991107941
min15,17031808302,10.08437272
min15,17031808400,13.51479289
min15,17031808500,10.60861089
min15,17031808600,11.9176846
min15,17031808702,8.659343945
min15,17031808800,8.647515102
min15,17031808900,9.029538737
min15,17031809000,9.356380222
min15,17031809100,8.74566466
min15,17031809200,8.982482037
min15,17031809300,8.779553976
min15,17031809400,6.388935943
min15,17031809500,9.557326027
min15,17031809600,9.179998693
min15,17031809700,9.263009402
min15,17031809800,7.050182237
min15,17031809900,7.125849329
min15,17031810000,7.158207918
min15,17031810100,7.392063828
min15,17031810200,7.4341594
min15,17031810301,7.091169125
min15,17031810302,6.920397276
min15,17031810400,8.048732033
min15,17031810501,2.901036716
min15,17031810502,3.528778217
min15,17031810600,3.368608963
min15,17031810701,4.147668577
min15,17031810702,4.026722793
min15,17031810800,3.506874863
min15,17031810900,7.09943016
min15,17031811000,3.237123701
min15,17031811100,2.925579194
min15,17031811200,2.661597905
min15,17031811301,2.44401852
min15,17031811302,2.104038183
min15,17031811401,1.767906144
min15,17031811402,1.835867853
min15,17031811500,2.072615371
min15,17031811600,7.514391244
min15,17031811701,1.393709479
min15,17031811702,1.362804782
min15,17031811800,2.404729414
min15,17031811900,7.223260899
min15,17031812000,11.75317533
min15,17031812100,4.624880469
min15,17031812200,7.290535047
min15,17031812301,11.6262473
min15,17031812302,11.87321663
min15,17031812400,8.099656222
min15,17031812500,11.93714233
min15,17031812600,11.99674731
min15,17031812700,12.14675065
min15,17031812801,13.31768076
min15,17031812802,12.17627302
min15,17031812900,13.24678219
min15,17031813000,12.96776468
min15,17031813100,12.84488401
min15,17031813200,12.17041338
min15,17031813301,16.60701071
min15,17031813302,17.10608839
min15,17031813400,12.54581776
min15,17031813500,12.54182373
min15,17031813600,12.20731546
min15,17031813701,12.18623331
min15,17031813702,12.98914592
min15,17031813801,12.72525998
min15,17031813802,11.69768165
min15,17031813900,10.91621079
min15,17031814000,10.98792
min15,17031814100,11.20883627
min15,17031814200,8.077008045
min15,17031814300,7.115786462
min15,17031814400,4.123379877
min15,17031814500,3.694064668
min15,17031814600,12.294105
min15,17031814700,11.37102207
min15,17031814800,12.21957197
min15,17031814900,11.39064154
min15,17031815000,11.7450041
min15,17031815100,11.26234613
min15,17031815200,8.104257279
min15,17031815300,6.749010601
min15,17031815400,6.793717295
min15,17031815500,3.305192355
min15,17031815600,8.016835485
min15,17031815701,7.532620869
min15,17031815702,6.691329883
min15,17031815800,8.6406043
min15,17031815900,13.20199715
min15,17031816000,13.51708813
min15,17031816100,12.95393639
min15,17031816200,6.693593255
min15,17031816300,6.123461671
min15,17031816401,6.425051244
min15,17031816402,6.513363679
min15,17031816500,6.972236516
min15,17031816600,6.96026489
min15,17031816700,3.042656833
min15,17031816800,5.953729864
min15,17031816900,6.808508324
min15,17031817000,7.208540127
min15,17031817101,7.886794395
min15,17031817102,8.740192286
min15,17031817200,7.824090628
min15,17031817300,8.507452466
min15,17031817400,6.913471324
min15,17031817500,12.40847714
min15,17031817600,13.29067352
min15,17031817700,13.48036885
min15,17031817900,9.558731019
min15,17031818000,8.341877667
min15,17031818100,8.835261203
min15,17031818200,7.14753106
