variable,id,group,value
Census Tract 4407,17031081402,min15,13.52183705
Census Tract 4408,17031081403,min15,13.67430898
Census Tract 8193,17031081500,min15,13.84962221
Census Tract 8194,17031081600,min15,13.88683258
Census Tract 8195,17031081700,min15,14.0140279
Census Tract 6309,17031081800,min15,14.09284452
Census Tract 6303,17031081900,min15,13.69537407
Census Tract 6305,17031090100,min15,7.373496922
Census Tract 6308,17031090200,min15,7.462092177
Census Tract 6401,17031090300,min15,6.965507652
Census Tract 6403,17031100100,min15,4.167711363
Census Tract 8196,17031100200,min15,7.214790419
Census Tract 8270,17031100300,min15,8.236788464
Census Tract 8271,17031100400,min15,4.120395706
Census Tract 3817,17031100500,min15,4.259660075
Census Tract 8272,17031100600,min15,5.087492231
Census Tract 8273,17031100700,min15,3.298624738
Census Tract 7501,17031110100,min15,4.536547312
Census Tract 7502,17031110200,min15,5.387033048
Census Tract 7503,17031110300,min15,5.113987243
Census Tract 7504,17031110400,min15,5.245175309
Census Tract 7505,17031110501,min15,5.897325386
Census Tract 8049.01,17031110502,min15,4.878847822
Census Tract 8049.02,17031120100,min15,8.296886236
Census Tract 8050.01,17031120200,min15,7.383098978
Census Tract 8050.02,17031120300,min15,8.548283044
Census Tract 1001,17031120400,min15,14.70986278
Census Tract 1003,17031130100,min15,5.915621311
Census Tract 1401,17031130200,min15,2.458569851
Census Tract 1402,17031130300,min15,4.078043107
Census Tract 1404,17031140100,min15,4.461875004
Census Tract 1405,17031140200,min15,5.929159118
Census Tract 8008,17031140301,min15,5.994094342
Census Tract 2427,17031140302,min15,4.960491034
Census Tract 702,17031140400,min15,5.838744365
Census Tract 703,17031140500,min15,11.48522379
Census Tract 704,17031140601,min15,11.79267596
Census Tract 705,17031140602,min15,7.702969206
Census Tract 706,17031140701,min15,6.952890914
Census Tract 707,17031140702,min15,12.00623923
Census Tract 1004,17031140800,min15,6.810773178
Census Tract 1006,17031150200,min15,8.559590342
Census Tract 1007,17031150300,min15,5.648491694
Census Tract 1102,17031150401,min15,4.114059346
Census Tract 1502,17031150402,min15,3.547065998
Census Tract 1503,17031150501,min15,3.415901086
Census Tract 1408,17031150502,min15,2.954064495
Census Tract 2312,17031150600,min15,3.436136587
Census Tract 2311,17031150700,min15,4.117852227
Census Tract 2424,17031150800,min15,5.422715733
Census Tract 2425,17031151001,min15,3.894812317
Census Tract 1202,17031151002,min15,5.95688375
Census Tract 1203,17031151100,min15,3.098080685
Census Tract 1204,17031151200,min15,3.002575386
Census Tract 2315,17031160100,min15,15.3963171
Census Tract 711,17031160200,min15,16.63540933
Census Tract 710,17031160300,min15,16.14325754
Census Tract 712,17031160400,min15,14.95576862
Census Tract 713,17031160501,min15,15.093881
Census Tract 1103,17031160502,min15,15.14932298
Census Tract 2203,17031160601,min15,8.089494111
Census Tract 2204,17031160602,min15,15.02489927
Census Tract 2205,17031160700,min15,14.88990004
Census Tract 2403,17031160800,min15,15.4112069
Census Tract 2405,17031160900,min15,15.13034973
Census Tract 604,17031161000,min15,16.21915646
Census Tract 605,17031161100,min15,16.17361005
Census Tract 2408,17031161200,min15,6.134862964
Census Tract 2406,17031161300,min15,14.92772364
Census Tract 2407,17031170100,min15,2.513424663
Census Tract 2409,17031170200,min15,3.083231661
Census Tract 2426,17031170300,min15,3.995438312
Census Tract 8031,17031170400,min15,3.989863584
Census Tract 3106,17031170500,min15,3.058182178
Census Tract 3107,17031170600,min15,3.455627461
Census Tract 3108,17031170700,min15,3.709934336
Census Tract 206.02,17031170800,min15,3.893053453
Census Tract 3109,17031170900,min15,4.274157718
Census Tract 5101,17031171000,min15,4.131788352
Census Tract 5102,17031171100,min15,2.820287931
Census Tract 5611,17031180100,min15,3.917643622
Census Tract 1907.01,17031190100,min15,4.58082708
Census Tract 209.01,17031190200,min15,3.762996238
Census Tract 102.02,17031190300,min15,2.172525193
Census Tract 5701,17031190401,min15,2.114066906
Census Tract 5702,17031190402,min15,2.049269837
Census Tract 5703,17031190601,min15,3.070165396
Census Tract 5704,17031190602,min15,3.044410263
Census Tract 5705,17031190701,min15,2.46791589
Census Tract 6904,17031190702,min15,2.45941289
Census Tract 6913,17031190800,min15,2.741453318
Census Tract 6914,17031190900,min15,3.025887127
Census Tract 6915,17031191000,min15,4.078245726
Census Tract 3201,17031191100,min15,2.933382041
Census Tract 7105,17031191200,min15,2.667298043
Census Tract 3204,17031191301,min15,3.503042657
Census Tract 5801,17031191302,min15,3.410351537
Census Tract 5802,17031200100,min15,5.132170117
Census Tract 5803,17031200200,min15,4.368923759
Census Tract 5804,17031200300,min15,3.577620816
Census Tract 5806,17031200401,min15,3.935312769
Census Tract 5807,17031200402,min15,3.753996742
Census Tract 6813,17031210100,min15,15.82208762
Census Tract 6814,17031210400,min15,14.1223549
Census Tract 6903,17031210501,min15,14.60808963
Census Tract 6905,17031210502,min15,13.96373798
Census Tract 6909,17031210601,min15,16.05601666
Census Tract 6910,17031210602,min15,15.3282052
Census Tract 7001,17031210700,min15,15.88965432
Census Tract 7002,17031210800,min15,15.87059319
Census Tract 3206,17031210900,min15,15.83234561
Census Tract 3301,17031220300,min15,15.66726602
Census Tract 3302,17031220400,min15,15.63512691
Census Tract 5905,17031220500,min15,15.29328065
Census Tract 5906,17031220601,min15,14.33245679
Census Tract 6712,17031220602,min15,14.77200196
Census Tract 6711,17031220701,min15,12.96909767
Census Tract 6713,17031220702,min15,13.86593316
Census Tract 6715,17031220901,min15,5.158996629
Census Tract 6716,17031220902,min15,9.737700069
Census Tract 6718,17031221000,min15,12.97952267
Census Tract 6719,17031221100,min15,13.77018215
Census Tract 7101,17031221200,min15,13.54653503
Census Tract 7102,17031221300,min15,14.6463975
Census Tract 7104,17031221400,min15,13.5370449
Census Tract 4303,17031221500,min15,15.50978048
Census Tract 7106,17031221600,min15,15.36893864
Census Tract 7108,17031222200,min15,14.5657742
Census Tract 3403,17031222500,min15,13.78882797
Census Tract 3405,17031222600,min15,13.94054207
Census Tract 3406,17031222700,min15,13.54404784
Census Tract 4302,17031222800,min15,12.57743868
Census Tract 5103,17031222900,min15,12.39009427
Census Tract 5201,17031230100,min15,13.7423662
Census Tract 5907,17031230200,min15,13.57909385
Census Tract 6004,17031230300,min15,13.08018008
Census Tract 8241.15,17031230400,min15,12.70173345
Census Tract 8253.03,17031230500,min15,8.373996043
Census Tract 8300.07,17031230600,min15,7.489962492
Census Tract 8138.01,17031230700,min15,13.11255994
Census Tract 8306,17031230800,min15,13.05336176
Census Tract 8308,17031230900,min15,13.48608937
Census Tract 8307,17031231100,min15,8.420255818
Census Tract 8309,17031231200,min15,8.727054383
Census Tract 8352,17031231500,min15,11.80844724
Census Tract 8399,17031240200,min15,14.70134001
Census Tract 8397,17031240300,min15,14.53160479
Census Tract 8398,17031240500,min15,14.20747387
Census Tract 8348,17031240600,min15,14.40889802
Census Tract 8347,17031240700,min15,14.12360294
Census Tract 8320,17031240800,min15,14.36938787
Census Tract 8325,17031240900,min15,12.53416876
Census Tract 8323,17031241000,min15,14.31263052
Census Tract 8383,17031241100,min15,14.25567632
Census Tract 8318,17031241200,min15,14.50889165
Census Tract 8317,17031241300,min15,13.78752744
Census Tract 8351,17031241400,min15,13.57598094
Census Tract 8350,17031241500,min15,14.67443601
Census Tract 8437,17031241600,min15,14.75836593
Census Tract 2207.02,17031242000,min15,14.47940483
Census Tract 8421,17031242100,min15,13.74360647
Census Tract 8433,17031242200,min15,13.2054798
Census Tract 8241.23,17031242300,min15,13.06028439
Census Tract 8044.05,17031242400,min15,13.70689852
Census Tract 8311,17031242500,min15,14.17821817
Census Tract 8315,17031242600,min15,12.74060813
Census Tract 8316,17031242700,min15,12.85603728
Census Tract 8312,17031242800,min15,13.91573127
Census Tract 8310,17031242900,min15,14.02874415
Census Tract 8430,17031243000,min15,13.53229652
Census Tract 8431,17031243100,min15,13.579089
Census Tract 8429,17031243200,min15,13.77717017
Census Tract 8435,17031243300,min15,14.11709977
Census Tract 8420,17031243400,min15,14.81380027
Census Tract 8080.02,17031243500,min15,13.60133201
